"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"112","CCE","2024-08-04","Munson Creek","MuCr5","B",0.1,23,"Mineral",101,">100cm",24,"Mineral,Rock",13,11,16,"yes","MuCr5B",29,27,9.5,10,9,9.5,"",5,5,"Core","","",""
"113","CCE","2024-07-18","Lost Horse","LoHo6","A",NA,12,"Mineral,Organic",85,"Rock",3.5,"Mineral",11,17,NA,"yes","LoHo6A",13,12,11,10,12,12,"",5,5,"Core","About 6 cm of rock removed between organic and mineral.","",""
"114","CCE","2024-08-03","Teklanika","Tekl3","B",0.1,16,"Mineral,Rock,Water",49,"Rock",20,"Rock",7,8,6,"yes","Tekl3B",18.5,18.5,9,9,10,10,"Large rocks included. Biggest rocks was half in half out of sample ",5,3,"Core","Removed 2cm of rock between organic and mineral. ","","4e8fa214-7b67-4f0e-aff1-ab71c286d557,0f9d510e-c6cb-4339-b220-a2efa7ace5f1"
"115","CCE","2024-08-05","Dry Creek","DrCr3","C",0.1,21,"Mineral",45,"Frozen Ground",23.5,"Mineral",13,6,15,"yes","DrCr3C",23,24,12,11.5,10,10,"",5,5,"Core","","",""
"116","CCE","2024-07-29","McCoy Creek","McCr2","C",NA,20,"Mineral",39,"Frozen Ground",30,"Mineral",4,8,2,"yes","McCr2C",22,20.5,6,9,11,10,"",5,5,"Core","","",""
"117","CCE","2024-08-05","Dry Creek","DrCr1","A",0,23,"Mineral,Water",64,"Frozen Ground",27,"Mineral,Water",11.5,8,11,"yes","DrCr1A",20,23,11,10.5,10,11.5,"",5,5,"Core","","Hit water at 20cm","a968a64a-ec50-4df1-9181-14efcac670e0"
"118","CCE","2024-07-18","Lost Horse","LoHo4","B",NA,0,"Mineral",79,"Rock",1,"Mineral",21,18,22,"yes","LoHo4B",0,0,0,0,0,0,"No organic, burned to mineral",5,5,"Core","Really crumbly m1, top 2 cm ashy. Because no organic sample, top of m1 had fine pieces or organic material. ","",""
"119","CCE","2024-08-06","Dry Creek","DrCr6","B",0,20.5,"Mineral,Water",101,">100cm",27,"Mineral,Water",7,NA,NA,"yes","DrCr6B",22,22,10,10,10,10.5,"",5,5,"Core","","",""
"120","CCE","2024-07-25","Haystack","Hays4","C",NA,10,"Rock",65,"Rock",4,"Mineral",22,9,11.5,"yes","Hays4C",7,8,10,10,11.5,11,"",8,0,"Core","Very crumbly, M1 and M2 combined","Removed 2cm of rock between org and mineral, hit rock after 8cm of mineral ",""
"121","CCE","2024-07-29","McCoy Creek","McCr2","A",NA,15,"Mineral",46,"Frozen Ground",17,"Mineral",6,7,NA,"yes","McCr2A",13,14,11,10,10,10,"",5,5,"Core","","Sampled between 2 tussocks",""
"122","CCE","2024-07-29","McCoy Creek","McCr6","C",NA,20,"Mineral,Water",52,"Frozen Ground",29,"Mineral",18,5,NA,"yes","McCr6C",20,19,10,11,11.5,10,"",5,0,"Both","M1 sample taken with corer, M2 sample grab below core hole, likely influenced by standing water","Sample taken at 3.5 m because of large CWD, water filling hole as coring",""
"123","CCE","2024-08-07","McCoy Creek","McCr3","B",1,5,"Mineral",81,"Frozen Ground",2,"Mineral",10,11,12,"yes","McCr3B",5,5.5,10.5,10.5,10.5,10,"Green moss here is Merchantia",5,5,"Core","","Ar on downed tree","41e3c822-6c09-4f51-9248-4f0f1cfa9ce5,5eac3001-1f90-42df-818d-9d167557e1f2"
