"","project","date","fire_scar","ID","sample_id","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"130","CCE","2024-07-29","McCoy Creek",202,"McCr6C","M1",5,"Core","M1 sample taken with corer, M2 sample grab below core hole, likely influenced by standing water","Sample taken at 3.5 m because of large CWD, water filling hole as coring"
"131","CCE","2024-08-01","Munson Creek",204,"MuCr1A","M1",5,"Core","",""
"132","CCE","2024-08-01","Munson Creek",205,"MuCr1A","M2",5,"Core","",""
"133","CCE","2024-08-01","Munson Creek",207,"MuCr1B","M1",5,"Core","",""
"134","CCE","2024-08-01","Munson Creek",208,"MuCr1B","M2",5,"Core","",""
"135","CCE","2024-08-01","Munson Creek",210,"MuCr1C","M1",5,"Core","Odd organic deposit below m1 and mixed with m2. Bottom 6 cm of mineral core ",""
"136","CCE","2024-08-01","Munson Creek",211,"MuCr1C","M2",5,"Core","Odd organic deposit below m1 and mixed with m2. Bottom 6 cm of mineral core ",""
"137","CCE","2024-08-01","Munson Creek",214,"MuCr2B","M1",999,"Grab","Removed 10 cm of rock between org and min. Took grab sample below that, unknown depth. In M1 bag. Still very rocky. ",""
"138","CCE","2024-08-01","Munson Creek",216,"MuCr2C","M1",4,"Grab","Too rocky to sample mineral. Removed 12 cm of rock and took grab sample of about 4 cm. Contains charcoal! In M1 bag. ","Sample taken on sphagnum hummock. No nearby trees also in hummock, tree AR measured at was burned almost to rock. "
"139","CCE","2024-08-01","Munson Creek",218,"MuCr3A","M1",5,"Core","",""
"140","CCE","2024-08-01","Munson Creek",219,"MuCr3A","M2",4.5,"Core","",""
"141","CCE","2024-08-01","Munson Creek",221,"MuCr3B","M1",5,"Core","",""
"142","CCE","2024-08-01","Munson Creek",222,"MuCr3B","M2",5,"Core","",""
"143","CCE","2024-08-01","Munson Creek",224,"MuCr3C","M1",3,"Neither","M1 came off with brownie. Depth of 3 but length and width of brownie. M2 taken with corer below. As sampling hole filled with water, so depth might not be accurate. Cored until frozen ground",""
"144","CCE","2024-08-01","Munson Creek",225,"MuCr3C","M2",8,"Core","M1 came off with brownie. Depth of 3 but length and width of brownie. M2 taken with corer below. As sampling hole filled with water, so depth might not be accurate. Cored until frozen ground",""
"145","CCE","2024-08-04","Munson Creek",227,"MuCr4A","M1",5,"Core","",""
"146","CCE","2024-08-04","Munson Creek",228,"MuCr4A","M2",5,"Core","",""
"147","CCE","2024-08-04","Munson Creek",230,"MuCr4B","M1",5,"Core","",""
"148","CCE","2024-08-04","Munson Creek",231,"MuCr4B","M2",5,"Core","",""
"149","CCE","2024-08-04","Munson Creek",233,"MuCr4C","M1",6.5,"Core","Top of mineral had organic soil plus large sand/gravel. Volumetric core taken to 13cm, but sample totally non consolidated, so fell apart immediately. Split in half for m1 and :2 ",""
"150","CCE","2024-08-04","Munson Creek",234,"MuCr4C","M2",6.5,"Core","Top of mineral had organic soil plus large sand/gravel. Volumetric core taken to 13cm, but sample totally non consolidated, so fell apart immediately. Split in half for m1 and :2 ",""
"151","CCE","2024-08-04","Munson Creek",236,"MuCr5A","M1",6,"Core","M1 very crumbly, both mixed with gravel",""
"152","CCE","2024-08-04","Munson Creek",237,"MuCr5A","M2",3.5,"Core","M1 very crumbly, both mixed with gravel",""
"153","CCE","2024-08-04","Munson Creek",239,"MuCr5B","M1",5,"Core","",""
"154","CCE","2024-08-04","Munson Creek",240,"MuCr5B","M2",5,"Core","",""
"155","CCE","2024-08-04","Munson Creek",242,"MuCr5C","M1",14.5,"Core","Mineral extremely gravelly, fell apart after removing from corer, all in M1",""
"156","CCE","2024-07-30","Nugget Creek",244,"NuCr1A","M1",5,"Core","Top 2 cm mineral mixed with organic but clearly mineral",""
"157","CCE","2024-07-30","Nugget Creek",245,"NuCr1A","M2",5,"Core","Top 2 cm mineral mixed with organic but clearly mineral",""
"158","CCE","2024-07-30","Nugget Creek",247,"NuCr1B","M1",5,"Core","M1 includes mixed organic and some char","Sample surface polytrichum. Organic depths include green moss and brown moss."
"159","CCE","2024-07-30","Nugget Creek",248,"NuCr1B","M2",5,"Core","M1 includes mixed organic and some char","Sample surface polytrichum. Organic depths include green moss and brown moss."
"160","CCE","2024-07-30","Nugget Creek",250,"NuCr1C","M1",5,"Core","0.5 cm rock removed between the upper 2 and lower 3 cm of M2 sample",""
"161","CCE","2024-07-30","Nugget Creek",251,"NuCr1C","M2",5,"Core","0.5 cm rock removed between the upper 2 and lower 3 cm of M2 sample",""
"162","CCE","2024-07-30","Nugget Creek",254,"NuCr2B","M1",4.5,"Neither","","Sampling at unburned sphagnum at 3m. M1 sample came off of bottom of organic sample, depth is estimated length and width are same dimensions as brownie. M2 sample taken as core below"
"163","CCE","2024-07-30","Nugget Creek",255,"NuCr2B","M2",4.5,"Core","","Sampling at unburned sphagnum at 3m. M1 sample came off of bottom of organic sample, depth is estimated length and width are same dimensions as brownie. M2 sample taken as core below"
"164","CCE","2024-07-30","Nugget Creek",257,"NuCr2C","M1",4,"Core","M1 sample came off of bottom of organic sample, depth is estimated. Length and width are same dimensions as brownie. M2 sample taken as core below Very top of m1 mixed with organic, no m2 sample because too rocky to core. M1 was uneven, 5cm and 4cm","0.1m off transect to avoid cwd"
"165","CCE","2024-07-30","Nugget Creek",259,"NuCr3A","M1",5,"Core","","SOL depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"166","CCE","2024-07-30","Nugget Creek",260,"NuCr3A","M2",5,"Core","","SOL depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"167","CCE","2024-07-30","Nugget Creek",262,"NuCr3B","M1",5,"Core","","Depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"168","CCE","2024-07-30","Nugget Creek",263,"NuCr3B","M2",5,"Core","","Depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"169","CCE","2024-07-30","Nugget Creek",265,"NuCr3C","M1",5,"Core","",""
"170","CCE","2024-07-30","Nugget Creek",266,"NuCr3C","M2",5,"Core","",""
"171","CCE","2024-07-31","Nugget Creek",268,"NuCr4A","M1",5,"Core","",""
"172","CCE","2024-07-31","Nugget Creek",269,"NuCr4A","M2",5,"Core","",""
"173","CCE","2024-07-31","Nugget Creek",271,"NuCr4B","M1",5,"Core","",""
"174","CCE","2024-07-31","Nugget Creek",272,"NuCr4B","M2",5,"Core","",""
"175","CCE","2024-07-31","Nugget Creek",274,"NuCr4C","M1",5,"Core","",""
"176","CCE","2024-07-31","Nugget Creek",275,"NuCr4C","M2",5,"Core","",""
"177","CCE","2024-07-31","Nugget Creek",277,"NuCr5A","M1",3,"Grab","M1 sample is grab sample, approximated depth and volume using corer but unable to remove an intact core. Not measured exactly volumetrically and contains rocks.","1.5 cm rock removed between organic and mineral, AR SOL depth does not include green moss, transect SOL does (polytrichum)"
"178","CCE","2024-07-31","Nugget Creek",278,"NuCr5A","M2",5,"Grab","M1 sample is grab sample, approximated depth and volume using corer but unable to remove an intact core. Not measured exactly volumetrically and contains rocks.","1.5 cm rock removed between organic and mineral, AR SOL depth does not include green moss, transect SOL does (polytrichum)"
"179","CCE","2024-07-31","Nugget Creek",280,"NuCr5B","M1",5,"Core","M1 sample is volumetric, M2 sample is grab sample using area of corer but unable to get intact core due to rocks and crumbly soil. M2 depth is estimated and not sampled volumetrically","1 cm rock between organic and mineral removed while sampling, AR depths taken on downed tree to bottom of tree roots"
"180","CCE","2024-07-31","Nugget Creek",281,"NuCr5B","M2",5,"Grab","M1 sample is volumetric, M2 sample is grab sample using area of corer but unable to get intact core due to rocks and crumbly soil. M2 depth is estimated and not sampled volumetrically","1 cm rock between organic and mineral removed while sampling, AR depths taken on downed tree to bottom of tree roots"
"181","CCE","2024-07-31","Nugget Creek",283,"NuCr5C","M1",7,"Grab","Too rocky and crumbly to core volumetrically, grab sample of mineral to 7 cm depth ","No standing AR tree, measuring AR depths from AR roots to remaining soil on roots or to the bottom of large exposed stabilizing root if no soil is remaining on roots. AR soil depth same hole as transect, not including green moss"
"182","CCE","2024-07-31","Nugget Creek",285,"NuCr6A","M1",10,"Grab","Very rocky below organic, m1 is a grab sample of 10 cm of mineral rock mix, m2 is a volumetric sample of core taken below this mixture ","AR depth measured on downed tree to bottom of roots, OL depth doesn’t include green moss"
"183","CCE","2024-07-31","Nugget Creek",286,"NuCr6A","M2",5,"Core","Very rocky below organic, m1 is a grab sample of 10 cm of mineral rock mix, m2 is a volumetric sample of core taken below this mixture ","AR depth measured on downed tree to bottom of roots, OL depth doesn’t include green moss"
"184","CCE","2024-07-31","Nugget Creek",288,"NuCr6B","M1",7.5,"Grab","Very rocky below organic, difficult to sample. M1 sample is grab sample of approximately top 7.5 cm, not sampled volumetrically. M2 sample taken below grab sample, 2 cm sampled volumetrically, unable to core deeper due to rock","AR measured on downed tree, measuring depth of AR to bottom of tree roots, depth in AR SOL is burned prefire organic with some mixture of post fire organic and mineral deposition. Depth of char layer alone is 1.5 cm"
"185","CCE","2024-07-31","Nugget Creek",289,"NuCr6B","M2",2,"Core","Very rocky below organic, difficult to sample. M1 sample is grab sample of approximately top 7.5 cm, not sampled volumetrically. M2 sample taken below grab sample, 2 cm sampled volumetrically, unable to core deeper due to rock","AR measured on downed tree, measuring depth of AR to bottom of tree roots, depth in AR SOL is burned prefire organic with some mixture of post fire organic and mineral deposition. Depth of char layer alone is 1.5 cm"
"186","CCE","2024-07-31","Nugget Creek",291,"NuCr6C","M1",4.5,"Grab","Both m1 and m2 are grab samples, not measured volumetrically, estimated depths. 2 cm of rock removed between organic and mineral.","Sampling at 3.6 m because of cwd. AR measured on downed tree, AR SOL depth same as transect soil depth hole but depth for AR SOL recorded here does not include green moss "
"187","CCE","2024-07-31","Nugget Creek",292,"NuCr6C","M2",5,"Grab","Both m1 and m2 are grab samples, not measured volumetrically, estimated depths. 2 cm of rock removed between organic and mineral.","Sampling at 3.6 m because of cwd. AR measured on downed tree, AR SOL depth same as transect soil depth hole but depth for AR SOL recorded here does not include green moss "
"188","CCE","2024-08-03","Teklanika",294,"Tekl1A","M1",5,"Core","",""
"189","CCE","2024-08-03","Teklanika",295,"Tekl1A","M2",5,"Core","",""
"190","CCE","2024-08-03","Teklanika",297,"Tekl1B","M1",5,"Core","Measured volumetrically but very rocky, so not totally confident about volume. ",""
"191","CCE","2024-08-03","Teklanika",298,"Tekl1B","M2",5,"Core","Measured volumetrically but very rocky, so not totally confident about volume. ",""
"192","CCE","2024-08-03","Teklanika",300,"Tekl1C","M1",5,"Core","M1 volumetric, but very rocky so medium confidence. Large rock of 3cm in sample. 2 cm of rock removed between m1 and m2. M2 grab sample due to rockiness ",""
"193","CCE","2024-08-03","Teklanika",301,"Tekl1C","M2",5,"Grab","M1 volumetric, but very rocky so medium confidence. Large rock of 3cm in sample. 2 cm of rock removed between m1 and m2. M2 grab sample due to rockiness ",""
"194","CCE","2024-08-03","Teklanika",303,"Tekl2A","M1",5,"Core","",""
"195","CCE","2024-08-03","Teklanika",304,"Tekl2A","M2",5,"Core","",""
"196","CCE","2024-08-03","Teklanika",306,"Tekl2B","M1",5,"Core","","Sampled at 13.2 because of cwd"
"197","CCE","2024-08-03","Teklanika",307,"Tekl2B","M2",5,"Core","","Sampled at 13.2 because of cwd"
"198","CCE","2024-08-03","Teklanika",309,"Tekl2C","M1",5,"Core","",""
"199","CCE","2024-08-03","Teklanika",310,"Tekl2C","M2",5,"Core","",""
"200","CCE","2024-08-03","Teklanika",312,"Tekl3A","M1",9,"Core","Coring into water and rock. Sample volumetric, but dicey",""
"201","CCE","2024-08-03","Teklanika",314,"Tekl3B","M1",5,"Core","Removed 2cm of rock between organic and mineral. ",""
"202","CCE","2024-08-03","Teklanika",315,"Tekl3B","M2",3,"Core","Removed 2cm of rock between organic and mineral. ",""
"203","CCE","2024-08-03","Teklanika",317,"Tekl3C","M1",5,"Core","Too rocky to core further",""
"204","CCE","2024-08-03","Teklanika",318,"Tekl3C","M2",3,"Core","Too rocky to core further",""
"205","CCE","2024-08-02","Teklanika",320,"Tekl4A","M1",4,"Core","M1 sampled with corer. Removed 5cm of rock. M2 is grab sample below that to a depth of 5 cm","Nearest tree had no Ar roots visible. SOL depth at it was 10. Measurements in data are from nearest tree with Ar"
"206","CCE","2024-08-02","Teklanika",321,"Tekl4A","M2",5,"Grab","M1 sampled with corer. Removed 5cm of rock. M2 is grab sample below that to a depth of 5 cm","Nearest tree had no Ar roots visible. SOL depth at it was 10. Measurements in data are from nearest tree with Ar"
"207","CCE","2024-08-02","Teklanika",323,"Tekl4B","M1",4,"Core","M1 sampled with corer. 2 cm of rock removed. M2 grab sample of 2cm","Sampled at 13.3 due to cwd"
"208","CCE","2024-08-02","Teklanika",324,"Tekl4B","M2",2,"Grab","M1 sampled with corer. 2 cm of rock removed. M2 grab sample of 2cm","Sampled at 13.3 due to cwd"
"209","CCE","2024-08-02","Teklanika",326,"Tekl4C","M1",5,"Core","",""
"210","CCE","2024-08-02","Teklanika",327,"Tekl4C","M2",5,"Core","",""
"211","CCE","2024-08-02","Teklanika",329,"Tekl5A","M1",5,"Core","","Very rainy, sharpie not working, rely on rite in rain paper slips"
"212","CCE","2024-08-02","Teklanika",330,"Tekl5A","M2",5,"Core","","Very rainy, sharpie not working, rely on rite in rain paper slips"
"213","CCE","2024-08-02","Teklanika",332,"Tekl5B","M1",7,"Grab","No m2. M1 is a grab sample of 7cm. Organic hole filled with water, mineral sample mixed with water, couldn’t be sampled volumetrically","Too wet for labels, rely on paper slips"
"214","CCE","2024-08-02","Teklanika",334,"Tekl5C","M1",5,"Core","","Too wet for labeling, rely on paper slips"
