"","project","date","fire_scar","ID","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"15","CCE","2024-08-05","Dry Creek",15,"DrCr2B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","No at roots visible on nearby trees"
"16","CCE","2024-08-05","Dry Creek",16,"DrCr2C",21,23,11,12,19,9,"","O",NA,NA,NA,""
"17","CCE","2024-08-05","Dry Creek",17,"DrCr2C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"18","CCE","2024-08-05","Dry Creek",18,"DrCr2C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"19","CCE","2024-08-05","Dry Creek",19,"DrCr3A",25,25,10,10.5,8,10,"","O",NA,NA,NA,"Hit water at 16"
"20","CCE","2024-08-05","Dry Creek",20,"DrCr3A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Hit water at 16"
"21","CCE","2024-08-05","Dry Creek",21,"DrCr3A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Hit water at 16"
"22","CCE","2024-08-05","Dry Creek",22,"DrCr3B",27,27,10,10,9,10,"","O",NA,NA,NA,""
"23","CCE","2024-08-05","Dry Creek",23,"DrCr3B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"24","CCE","2024-08-05","Dry Creek",24,"DrCr3B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"25","CCE","2024-08-05","Dry Creek",25,"DrCr3C",23,24,12,11.5,10,10,"","O",NA,NA,NA,""
"26","CCE","2024-08-05","Dry Creek",26,"DrCr3C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"27","CCE","2024-08-05","Dry Creek",27,"DrCr3C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"28","CCE","2024-08-06","Dry Creek",28,"DrCr4A",4.5,3,10,10,9.5,9.5,"","O",NA,NA,NA,"Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
"29","CCE","2024-08-06","Dry Creek",29,"DrCr4A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
"30","CCE","2024-08-06","Dry Creek",30,"DrCr4A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
"31","CCE","2024-08-06","Dry Creek",31,"DrCr4B",6.5,7,9,9,9,10,"","O",NA,NA,NA,"Mineral all the way down but really hard to press thaw probe through"
"32","CCE","2024-08-06","Dry Creek",32,"DrCr4B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Mineral all the way down but really hard to press thaw probe through"
"33","CCE","2024-08-06","Dry Creek",33,"DrCr4B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Mineral all the way down but really hard to press thaw probe through"
"34","CCE","2024-08-06","Dry Creek",34,"DrCr4C",10,10,10,9,9.5,9,"","O",NA,NA,NA,"Really hard packed mineral, hard to get thaw probe through"
"35","CCE","2024-08-06","Dry Creek",35,"DrCr4C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Really hard packed mineral, hard to get thaw probe through"
"36","CCE","2024-08-06","Dry Creek",36,"DrCr4C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Really hard packed mineral, hard to get thaw probe through"
"37","CCE","2024-08-06","Dry Creek",37,"DrCr5A",8,7.5,10,10,10,9.5,"","O",NA,NA,NA,"Mineral too dense for thaw probe"
"38","CCE","2024-08-06","Dry Creek",38,"DrCr5A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Mineral too dense for thaw probe"
"39","CCE","2024-08-06","Dry Creek",39,"DrCr5A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Mineral too dense for thaw probe"
"40","CCE","2024-08-06","Dry Creek",40,"DrCr5B",10,11.5,10,10.5,10,10,"","O",NA,NA,NA,"Mineral too dense to probe further"
"41","CCE","2024-08-06","Dry Creek",41,"DrCr5B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Mineral too dense to probe further"
"42","CCE","2024-08-06","Dry Creek",42,"DrCr5B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Mineral too dense to probe further"
"43","CCE","2024-08-06","Dry Creek",43,"DrCr5C",4,4.5,11,11,10,10,"","O",NA,NA,NA,"Sampled at 23.6 due to roots. Mineral too dense to probe"
"44","CCE","2024-08-06","Dry Creek",44,"DrCr5C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Sampled at 23.6 due to roots. Mineral too dense to probe"
"45","CCE","2024-08-06","Dry Creek",45,"DrCr5C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Sampled at 23.6 due to roots. Mineral too dense to probe"
"46","CCE","2024-08-06","Dry Creek",46,"DrCr6A",20,20,7,7,8.5,8,"","O",NA,NA,NA,""
"47","CCE","2024-08-06","Dry Creek",47,"DrCr6A",NA,NA,NA,NA,NA,NA,NA,"M1",6,"Core","",""
"48","CCE","2024-08-06","Dry Creek",48,"DrCr6A",NA,NA,NA,NA,NA,NA,NA,"M2",4,"Core","",""
"49","CCE","2024-08-06","Dry Creek",49,"DrCr6B",22,22,10,10,10,10.5,"","O",NA,NA,NA,""
