_record_id,_title,_server_updated_at,_updated_by,_geometry,date,fire_scar,site,additional_species_list,additional_species_notes,photos
eafb2e9d-3742-4f14-bb34-c2267b3a05fc,"ISOM2, Mertensia paniculata, Petasites frigidus, Alnus viridis, Betula neoalaskana, Polygonum",2025-08-09 19:14:27 UTC,Xanthe Walker,,2025-08-08,Isom,ISOM2,"Alnus viridis,Betula neoalaskana,Mertensia paniculata,Petasites frigidus,Polygonum",,
edfebae3-efb6-491e-aad1-01ae0847ed05,"ISOM1, Mertensia paniculata",2025-08-09 19:14:27 UTC,Xanthe Walker,,2025-08-08,Isom,ISOM1,Mertensia paniculata,,
dfe1c861-5238-4ea7-981f-9fd23f25a8e6,"ISOM4, Empetrum nigrum, Rubus chamaemorus, Polytrichum juniperinum",2025-08-09 19:14:27 UTC,Xanthe Walker,,2025-08-08,Isom,ISOM4,"Empetrum nigrum,Polytrichum juniperinum,Rubus chamaemorus",,
14205ccd-831e-400c-9f5c-aa0923ec190b,"TROU4, Mertensia paniculata",2025-08-06 01:13:33 UTC,Xanthe Walker,,2025-08-05,Troublesome,TROU4,Mertensia paniculata,,
f214c803-838e-45b8-b1bf-8756343be212,"MCDO5, Corydalis sempervirens, Equisetum scirpoides, Calamagrostis spp",2025-07-30 04:52:34 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO5,"Calamagrostis spp,Corydalis sempervirens,Equisetum scirpoides",,
20a8ce92-942f-4662-ba57-8791282b4ed6,"MCDO1, Corydalis sempervirens",2025-07-26 02:06:34 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO1,Corydalis sempervirens,,
1b92cdd0-65d0-42d4-a86e-cc056e6810ed,"GLOB5, Alnus viridis, Corydalis sempervirens",2025-07-24 17:50:55 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB5,"Alnus viridis,Corydalis sempervirens",,
