date,fire_scar,site,plot,location,site_notes,seedlings_present,species_,seedling_count,seedling_notes,bd1,bd2,bd3,photos
7/23/2025,Globe,GLOB6,B,9 m,,no,NA,NA,NA,NA,NA,NA,54fed941-fbfb-438b-920f-5fbd0ffdc9da
7/29/2025,McDonald,MCDO6,C,9 m,,no,NA,NA,NA,NA,NA,NA,1495725c-31a8-4b10-860b-73171af9092e
7/26/2025,Slate,SLAT2,C,3 m,,no,NA,NA,NA,NA,NA,NA,81f84701-ab55-4520-a1fc-15ccbc331674
7/25/2025,McDonald,MCDO2,B,9 m,,no,NA,NA,NA,NA,NA,NA,cde4d8fa-14cf-4190-901c-a61f2f68f757
8/3/2025,Chitanana,CHIT4,A,9 m,,yes,black spruce,1,Below 0.05,NA,NA,NA,9a98616d-043a-4756-97b1-50c97c58f9ba
8/3/2025,Chitanana,CHIT4,A,9 m,,yes,birch,1,Below 0.05,NA,NA,NA,9a98616d-043a-4756-97b1-50c97c58f9ba
7/26/2025,Slate,SLAT3,C,3 m,,no,NA,NA,NA,NA,NA,NA,df339016-bafc-4ec7-aca3-efcf44257685
7/21/2025,Aggie,AGCR1,C,6 m,,yes,black spruce,7,,0.21,0.15,0.12,6d9d7124-7b62-40b6-aa2f-9e0ea1732b7c
7/21/2025,Aggie,AGCR1,C,6 m,,yes,birch,11,,0.71,0.09,0.07,6d9d7124-7b62-40b6-aa2f-9e0ea1732b7c
8/2/2025,Troublesome,TROU2,B,9 m,,no,NA,NA,NA,NA,NA,NA,5597c7f8-0348-417d-a0e4-85c6708d055c
7/23/2025,Globe,GLOB5,A,3 m,,no,NA,NA,NA,NA,NA,NA,ee2f06ce-93d8-41c2-ae52-7d9340635780
8/2/2025,Troublesome,TROU2,A,9 m,,no,NA,NA,NA,NA,NA,NA,7f5accea-615d-4d62-8404-8bc53f430cb0
7/31/2025,Globe,GLOB1,A,3 m,,yes,black spruce,1,Tiny! Below 0.05 ,0.05,NA,NA,72239516-0d89-4646-b743-ef6306ced6b8
8/8/2025,Isom,ISOM3,B,9 m,,no,NA,NA,NA,NA,NA,NA,d283db12-d71c-4c35-990a-cc2813590557
8/8/2025,Isom,ISOM2,B,3 m,,no,NA,NA,NA,NA,NA,NA,495ea034-ea48-4a51-9f79-c09a036d766b
7/29/2025,McDonald,MCDO6,A,3 m,,yes,black spruce,1,Below 0.05,0.05,NA,NA,e2eb5df6-47b4-444b-814c-1fdc85f91521
7/25/2025,McDonald,MCDO2,C,9 m,,yes,black spruce,2,Below 0.05 bd,NA,NA,NA,a72d4772-a354-4de2-bcf4-8d8b5c221c52
7/26/2025,Slate,SLAT1,C,6 m,,no,NA,NA,NA,NA,NA,NA,c7730a47-dfab-4824-b364-95ea312d0c45
8/8/2025,Isom,ISOM3,C,9 m,,no,NA,NA,NA,NA,NA,NA,c9f661f9-ac88-4f42-84b7-3dd4c066217f
8/5/2025,Troublesome,TROU4,C,9 m,,yes,black spruce,6,,0.12,0.2,0.15,2589bc6d-8fd6-4a2e-8019-61fd6a8257b4
8/5/2025,Troublesome,TROU4,C,9 m,,yes,birch,1,,0.15,NA,NA,2589bc6d-8fd6-4a2e-8019-61fd6a8257b4
8/2/2025,Troublesome,TROU1,A,3 m,,no,NA,NA,NA,NA,NA,NA,2a451d96-2056-4b31-b4e4-ea7d1d007015
7/26/2025,Slate,SLAT1,A,3 m,,yes,black spruce,1,Below .05 tiny,0.05,NA,NA,e5faf471-11eb-4db7-abfd-efbe0200ec5f
7/23/2025,Globe,GLOB5,B,6 m,,yes,black spruce,1,,0.02,NA,NA,e82ebfc6-b2cf-4a90-b631-348d289d6ee5
