date,fire_scar,site,plot,location,site_notes,seedlings_present,species_,seedling_count,seedling_notes,bd1,bd2,bd3,photos
8/4/2025,Yukon Creek,YUCR4,C,3 m,,yes,birch,13,,0.45,0.37,0.64,6fec94db-773d-41e6-b1a6-abe3da739d8d
8/4/2025,Yukon Creek,YUCR4,C,3 m,,yes,aspen,1,,0.45,NA,NA,6fec94db-773d-41e6-b1a6-abe3da739d8d
7/29/2025,McDonald,MCDO4,C,3 m,,no,NA,NA,NA,NA,NA,NA,f15b2bd2-bc6c-48ce-9efc-947085f304c9
8/8/2025,Isom,ISOM3,B,6 m,,no,NA,NA,NA,NA,NA,NA,d92b8f66-ddb6-4e7f-8008-3c02fe493ab5
8/8/2025,Isom,ISOM4,A,6 m,,no,NA,NA,NA,NA,NA,NA,fb1ac576-dd2b-4173-97c0-a66608bb62f5
8/3/2025,Chitanana,CHIT3,B,6 m,,no,NA,NA,NA,NA,NA,NA,19a40605-1d04-4fa7-b144-d0257817aa69
7/23/2025,Globe,GLOB6,C,6 m,,no,NA,NA,NA,NA,NA,NA,6a67563f-3e25-4526-bcdf-fa62c9becdf3
7/31/2025,Globe,GLOB2,A,9 m,,yes,black spruce,5,Tiny! Below 0.05,NA,NA,NA,0b785af4-8205-4835-abbf-48f58936783b
7/31/2025,Globe,GLOB2,A,9 m,,yes,birch,1,I think this is hybrid,0.14,NA,NA,0b785af4-8205-4835-abbf-48f58936783b
7/23/2025,Globe,GLOB5,C,3 m,,no,NA,NA,NA,NA,NA,NA,6632bc47-b439-4306-adbf-068dc2dc682d
8/4/2025,Yukon Creek,YUCR5,B,3 m,,yes,birch,13,,0.32,0.15,0.28,81438238-3da7-458a-abcb-e1b76546bbca
8/4/2025,Yukon Creek,YUCR5,B,3 m,,yes,black spruce,1,,0.06,NA,NA,81438238-3da7-458a-abcb-e1b76546bbca
7/26/2025,Slate,SLAT3,A,9 m,,no,NA,NA,NA,NA,NA,NA,c53759dc-75ca-4739-8175-b5e3b90b7b4a
7/23/2025,Globe,GLOB6,B,6 m,,no,NA,NA,NA,NA,NA,NA,d93ce559-08a1-4db4-9f59-1d3c78d3256d
8/5/2025,Troublesome,TROU5,B,3 m,,no,NA,NA,NA,NA,NA,NA,e9c5cba7-87a3-4f68-9b83-0a90bdb3f4c6
8/4/2025,Yukon Creek,YUCR5,A,3 m,,yes,birch,1,Too small to measure,NA,NA,NA,1bf0232f-37ef-4546-9c7e-94905d34bd13
7/23/2025,Globe,GLOB6,C,3 m,,no,NA,NA,NA,NA,NA,NA,a9242768-8101-46ca-b2b8-d1b7dfc27c74
7/31/2025,Globe,GLOB2,A,3 m,,no,NA,NA,NA,NA,NA,NA,8d347d92-ed28-46b2-9f4f-1c9891406bcd
7/25/2025,McDonald,MCDO3,A,6 m,,no,NA,NA,NA,NA,NA,NA,8dd087e5-4657-44ab-b309-96e4b818e218
7/22/2025,Aggie,AGCR4,C,3 m,,yes,black spruce,6,,0.2,0.05,0.05,917d14fb-8613-4df6-ae12-558ccba0196a
7/26/2025,Slate,SLAT1,A,6 m,,no,NA,NA,NA,NA,NA,NA,d9e2249a-cf69-4e6a-933a-de26c8f6589c
8/1/2025,Yukon Creek,YUCR1,B,3 m,Ground cover for this plot was difficult given that I couldn’t really see the ground with a bunch of plant cover. Did my best:/,yes,black spruce,6,,0.14,0.1,0.09,6ef71c62-44ac-48af-9dde-4eb50cda65af
8/1/2025,Yukon Creek,YUCR1,B,3 m,Ground cover for this plot was difficult given that I couldn’t really see the ground with a bunch of plant cover. Did my best:/,yes,birch,2,,0.5,0.15,0.15,6ef71c62-44ac-48af-9dde-4eb50cda65af
8/5/2025,Troublesome,TROU4,A,3 m,,yes,black spruce,3,,0.14,0.12,0.15,76cc0a7e-304e-4f03-861e-a5a27019ab8d
8/5/2025,Troublesome,TROU4,A,3 m,,yes,birch,1,Too small to measure ,NA,NA,NA,76cc0a7e-304e-4f03-861e-a5a27019ab8d
8/8/2025,Isom,ISOM2,C,6 m,,no,NA,NA,NA,NA,NA,NA,1726cc28-8462-437f-b258-63c8929919e3
8/1/2025,Yukon Creek,YUCR1,B,9 m,,no,NA,NA,NA,NA,NA,NA,871d2177-37db-4cac-b515-f3db120e5885
7/26/2025,Slate,SLAT2,A,9 m,,yes,black spruce,1,Below 0.05,0.05,NA,NA,d7a71612-758d-4cb2-9d7c-2335c4b4759f
7/31/2025,Globe,GLOB1,C,6 m,,no,NA,NA,NA,NA,NA,NA,87948154-e354-490c-8908-0a9304bbb179
8/5/2025,Troublesome,TROU5,B,9 m,,yes,black spruce,1,Too small to measure,NA,NA,NA,197bb533-359f-4995-b244-678b099c3a5f
8/3/2025,Chitanana,CHIT1,C,3 m,,no,NA,NA,NA,NA,NA,NA,ef7b21b5-6175-4059-92ed-633c50320b38
8/8/2025,Isom,ISOM4,A,3 m,,yes,black spruce,1,,0.15,NA,NA,c7675241-7d04-441b-bbe8-1bc2406a8df5
7/22/2025,Aggie,AGCR6,B,3 m,,yes,black spruce,6,,0.25,0.31,0.35,baf2a6f7-57e4-495c-9c66-64ba90e54079
7/22/2025,Aggie,AGCR6,B,3 m,,yes,birch,6,,0.1,0.23,0.3,baf2a6f7-57e4-495c-9c66-64ba90e54079
7/21/2025,Aggie,AGCR3,B,3 m,,yes,black spruce,137,,0.33,0.64,0.06,"f13d86d8-e473-478b-8512-ae0a7c08d5ff,273b4093-647a-4c9f-81fb-eadb3be2dc5e"
7/31/2025,Globe,GLOB2,B,9 m,,yes,birch,1,,0.33,NA,NA,f28e99e7-0caf-4006-ae3a-8cb44f812816
8/1/2025,Yukon Creek,YUCR2,C,3 m,,yes,birch,11,,0.2,0.1,0.1,7111dde1-9b86-4a29-85c9-df144ad78b7b
8/1/2025,Yukon Creek,YUCR2,C,3 m,,yes,black spruce,1,Tiny below 0.05,NA,NA,NA,7111dde1-9b86-4a29-85c9-df144ad78b7b
7/22/2025,Aggie,AGCR5,C,6 m,,yes,black spruce,13,,0.57,0.53,0.39,18022e29-b77c-4222-910c-4b89cf6bb6ed
7/22/2025,Aggie,AGCR5,C,6 m,,yes,birch,1,,0.2,NA,NA,18022e29-b77c-4222-910c-4b89cf6bb6ed
8/5/2025,Troublesome,TROU4,A,6 m,,no,NA,NA,NA,NA,NA,NA,ac67242c-aa1d-4a59-b24b-b142191afe4f
7/21/2025,Aggie,AGCR1,C,3 m,,yes,birch,3,,0.78,0.09,0.34,7800d39c-3283-4ca6-8835-44889778a8cd
7/31/2025,Globe,GLOB3,A,9 m,,no,NA,NA,NA,NA,NA,NA,203c1d28-5ae5-43c7-af19-df2a7b1efcf8
7/21/2025,Aggie,AGCR1,A,9 m,,yes,birch,4,,0.03,0.2,0.63,2a9f2885-8ca3-4981-ba48-b89f458a7ff0
7/21/2025,Aggie,AGCR1,A,9 m,,yes,black spruce,1,,0.27,NA,NA,2a9f2885-8ca3-4981-ba48-b89f458a7ff0
7/21/2025,Aggie,AGCR1,A,9 m,,yes,birch,1,DBH = 0.62,1.96,NA,NA,2a9f2885-8ca3-4981-ba48-b89f458a7ff0
8/3/2025,Chitanana,CHIT4,B,9 m,,no,NA,NA,NA,NA,NA,NA,5f01c616-3aed-4747-b628-37c9b64ad09a
7/26/2025,Slate,SLAT1,B,3 m,,no,NA,NA,NA,NA,NA,NA,2769cb6c-340a-49c9-ad62-8e8d00a5c8f5
7/21/2025,Aggie,AGCR2,A,3 m,,no,NA,NA,NA,NA,NA,NA,2f345618-7263-404d-b401-9f44b898a806
8/4/2025,Yukon Creek,YUCR5,B,9 m,,yes,birch,3,Third birch too small to measure ,0.17,0.18,NA,c5cf30d4-ea96-4cc4-97d5-8774cb23ce74
8/4/2025,Yukon Creek,YUCR5,B,9 m,,yes,black spruce,6,,0.17,0.18,0.06,c5cf30d4-ea96-4cc4-97d5-8774cb23ce74
7/31/2025,Globe,GLOB3,A,3 m,,yes,black spruce,11,Under .5,NA,NA,NA,ca9a492f-6540-43e6-b88d-ac5eb7febac8
8/3/2025,Chitanana,CHIT4,C,9 m,,yes,birch,1,,0.1,NA,NA,e16de8eb-7eda-4504-87c0-2ba6ae2a465d
8/4/2025,Yukon Creek,YUCR5,B,6 m,,yes,birch,11,,0.4,0.35,0.2,c34e7efc-2e17-4c2b-99c7-cb2620d4e682
8/4/2025,Yukon Creek,YUCR5,B,6 m,,yes,black spruce,10,,0.08,0.08,0.1,c34e7efc-2e17-4c2b-99c7-cb2620d4e682
7/31/2025,Globe,GLOB1,B,6 m,,yes,birch,2,,0.11,0.12,NA,2d98273e-7a0b-4ac3-9b89-839e97f38386
7/31/2025,Globe,GLOB1,B,6 m,,yes,black spruce,2,Tiny/below .05,NA,NA,NA,2d98273e-7a0b-4ac3-9b89-839e97f38386
7/21/2025,Aggie,AGCR3,A,6 m,,yes,black spruce,10,,0.2,0.18,0.14,6a8f0565-e74a-4bcc-b8fd-ecfa6cd52348
7/31/2025,Globe,GLOB2,A,6 m,,yes,black spruce,1,Tiny below 0.05,NA,NA,NA,f091afe2-0e33-4f5f-a8b1-dc464ec7c2df
7/21/2025,Aggie,AGCR2,C,9 m,,yes,black spruce,1,,0.06,NA,NA,c6fc386b-bfef-4b3b-835c-9e91964c0159
8/8/2025,Isom,ISOM4,A,9 m,,no,NA,NA,NA,NA,NA,NA,54672702-01fa-4cd9-a321-cc19d93d2307
7/27/2025,Slate,SLAT5,B,3 m,,no,NA,NA,NA,NA,NA,NA,489f5bda-8a0c-4d9d-b05c-ca2c949e6e26
7/29/2025,McDonald,MCDO5,A,6 m,,no,NA,NA,NA,NA,NA,NA,24d5be4b-504d-4775-a331-1d64a9b2ddb8
7/23/2025,Globe,GLOB6,C,9 m,This plot is like a mini meadow. A lot of vascular plant diversity was found when compared to the rest of the site,no,NA,NA,NA,NA,NA,NA,5b5367fd-c959-41a0-a59e-ff36e5aec4e2
8/1/2025,Yukon Creek,YUCR2,B,3 m,,yes,black spruce,3,,0.07,0.07,0.13,945dc8e2-33fc-47f1-9d83-01e994813688
8/1/2025,Yukon Creek,YUCR2,B,3 m,,yes,birch,2,,0.07,0.07,NA,945dc8e2-33fc-47f1-9d83-01e994813688
7/31/2025,Globe,GLOB3,C,9 m,,yes,black spruce,1,Tiny below 0.05,NA,NA,NA,f49014f3-ab9d-406d-9540-298d0637f0a3
8/2/2025,Troublesome,TROU1,C,3 m,,no,NA,NA,NA,NA,NA,NA,5fa57ea5-b3aa-435c-a9c4-931cbd2c5455
7/29/2025,McDonald,MCDO6,A,6 m,,yes,black spruce,3,Tiny all below 0.05,0.05,0.05,0.05,0222110e-7b11-46b6-b49c-921f8e52da31
7/25/2025,McDonald,MCDO2,A,3 m,,yes,black spruce,3,All smaller 0.05,0.05,0.05,0.05,10e872ce-f0cd-4703-a9b1-1ae57e953fa4
8/4/2025,Yukon Creek,YUCR5,A,9 m,,yes,birch,3,3rd too small to measure,0.3,0.17,0.01,b168ade9-bbcb-4b89-8ce4-8876cd039e7c
8/3/2025,Chitanana,CHIT1,B,3 m,,no,NA,NA,NA,NA,NA,NA,43570a51-59e8-4ed6-a2da-3f4fb91a6cc3
8/2/2025,Troublesome,TROU3,A,6 m,,no,NA,NA,NA,NA,NA,NA,c081bb00-bb1d-4623-9e95-70507f75a95a
8/3/2025,Chitanana,CHIT3,B,9 m,,yes,larch,4,,0.7,0.1,0.25,b394fc3b-6ece-4557-a3da-c29fcb2fb553
8/4/2025,Yukon Creek,YUCR4,C,6 m,,yes,birch,7,,0.63,0.6,0.9,c5064094-3300-4beb-b808-4fe50ccecb7c
8/4/2025,Yukon Creek,YUCR4,C,6 m,,yes,aspen,2,,0.2,0.31,NA,c5064094-3300-4beb-b808-4fe50ccecb7c
7/25/2025,McDonald,MCDO1,B,9 m,,no,NA,NA,NA,NA,NA,NA,6d64c888-88af-4fb6-ad43-57e17defa681
8/3/2025,Chitanana,CHIT4,C,3 m,,yes,birch,2,,0.15,0.34,NA,c775b4b4-7d56-46ce-9a82-79bdeb3c4da4
8/2/2025,Troublesome,TROU3,B,6 m,,no,NA,NA,NA,NA,NA,NA,e3d6b0d6-90c7-435f-aba1-64eb07273e6c
8/5/2025,Troublesome,TROU4,B,9 m,,no,NA,NA,NA,NA,NA,NA,392ebec1-28af-4d41-8a18-4e3fb4f9b3ba
8/8/2025,Isom,ISOM1,C,6 m,,no,NA,NA,NA,NA,NA,NA,a77c15d8-1daf-4a3a-b168-d82b7d3c45d5
7/26/2025,Slate,SLAT3,A,6 m,,no,NA,NA,NA,NA,NA,NA,a49e8499-c732-4d23-ad53-875ddd160460
8/2/2025,Troublesome,TROU3,C,6 m,,no,NA,NA,NA,NA,NA,NA,51fb0973-0164-4b87-b9a5-354d590e98ce
7/27/2025,Slate,SLAT5,C,9 m,,no,NA,NA,NA,NA,NA,NA,048946c8-4fb6-4c43-b4fe-eea8585d44ad
8/5/2025,Troublesome,TROU5,C,3 m,,no,NA,NA,NA,NA,NA,NA,ff0665dc-7491-4467-92d5-8092903d0c00
7/22/2025,Aggie,AGCR5,A,9 m,,yes,black spruce,16,,0.29,0.44,0.06,f3d519e8-608a-47ed-88b0-75d9902c525c
8/1/2025,Yukon Creek,YUCR3,A,3 m,,yes,birch,3,Others were too small to measure,0.09,NA,NA,f3d8ab91-566f-4183-b4a0-af0ba2a0e15f
8/1/2025,Yukon Creek,YUCR3,A,3 m,,yes,aspen,1,,0.32,NA,NA,f3d8ab91-566f-4183-b4a0-af0ba2a0e15f
8/8/2025,Isom,ISOM2,B,9 m,,no,NA,NA,NA,NA,NA,NA,33efcef7-3ce2-410b-91a3-64852228e780
8/3/2025,Chitanana,CHIT1,C,9 m,,no,NA,NA,NA,NA,NA,NA,85223fca-78e7-4496-a941-5bba3c2c3f51
8/5/2025,Troublesome,TROU5,C,6 m,,no,NA,NA,NA,NA,NA,NA,fe236247-9b98-4562-8dd7-1a94a91f26a2
7/21/2025,Aggie,AGCR3,B,9 m,,yes,black spruce,56,,0.12,0.12,0.18,ae060b28-2402-48b4-aad2-40039f5f0111
7/25/2025,McDonald,MCDO3,C,6 m,,yes,black spruce,42,,0.06,0.07,0.04,b60364b7-f5d1-4bdc-b14e-f4f7f36eaee8
7/21/2025,Aggie,AGCR3,A,9 m,,yes,black spruce,2,,0.43,0.1,NA,a9d44164-245a-41e4-bc04-74e1d2a1c607
7/26/2025,Slate,SLAT1,C,9 m,,no,NA,NA,NA,NA,NA,NA,57d750a3-2c66-4058-b88b-cdce9ddc626d
8/3/2025,Chitanana,CHIT3,B,3 m,,no,NA,NA,NA,NA,NA,NA,32e8a67d-bc5c-466f-8d9b-9209d47726cb
8/3/2025,Chitanana,CHIT1,A,3 m,,yes,birch,2,BD2 too small,0.37,NA,NA,08cd0f0f-2107-4af6-bc44-debb127147eb
8/5/2025,Troublesome,TROU4,A,9 m,Really messy plot. A lot going on,no,NA,NA,NA,NA,NA,NA,64243825-5e4a-461a-9868-da250c7e3107
8/4/2025,Yukon Creek,YUCR4,B,3 m,,yes,birch,7,,0.45,0.2,0.15,a11eef0a-0384-4ad5-a6e9-edaa3bf207ff
8/4/2025,Yukon Creek,YUCR4,B,3 m,,yes,black spruce,1,,0.12,NA,NA,a11eef0a-0384-4ad5-a6e9-edaa3bf207ff
7/31/2025,Globe,GLOB2,C,9 m,,yes,black spruce,3,Super tiny less than 0.05 bd,NA,NA,NA,56abd580-a1c7-43ba-b0c5-a292e69399dd
8/8/2025,Isom,ISOM5,B,3 m,,no,NA,NA,NA,NA,NA,NA,03c15ba7-190c-43cc-93b8-17cffd8b4a2a
8/2/2025,Troublesome,TROU2,B,3 m,,no,NA,NA,NA,NA,NA,NA,782fcb25-7a48-4058-b5ed-cbd64e0242da
7/26/2025,Slate,SLAT1,B,9 m,,no,NA,NA,NA,NA,NA,NA,701aca6d-a3ce-4828-9f05-4c284a74f7c4
8/8/2025,Isom,ISOM3,C,3 m,,no,NA,NA,NA,NA,NA,NA,ae73e0d4-edb2-49bd-bdd9-49f6e6058e23
7/21/2025,Aggie,AGCR1,A,6 m,Seedling hand recorded,yes,birch,20,,0.06,0.05,0.05,45774de1-12d6-48eb-ae6d-ac3216c481a2
8/1/2025,Yukon Creek,YUCR1,A,3 m,Cone ball in plot,yes,black spruce,25,Cone ball in plot,0.08,0.08,0.12,30166533-ee8f-49df-a3f5-603f94add9b1
8/5/2025,Troublesome,TROU4,B,6 m,,no,NA,NA,NA,NA,NA,NA,2f2144ea-aa76-4575-8f1f-ca4d55f8d1ef
8/8/2025,Isom,ISOM5,A,6 m,,no,NA,NA,NA,NA,NA,NA,b1149122-503f-4d4e-9dfb-206d5ca476f2
8/8/2025,Isom,ISOM4,C,3 m,,no,NA,NA,NA,NA,NA,NA,7563f930-0923-477b-b010-e6adcc6a1859
8/8/2025,Isom,ISOM5,C,9 m,This plot had a LOT of built up litter from both grass and leaf. Found to moss or burned material ,no,NA,NA,NA,NA,NA,NA,e07a2bc1-7fab-40d7-89ee-c93fcb6c1a22
7/25/2025,McDonald,MCDO2,C,6 m,,no,NA,NA,NA,NA,NA,NA,fc492e71-5b74-4fea-80c3-d7a33ce15444
7/26/2025,Slate,SLAT1,B,6 m,,yes,black spruce,1,Tiny! Below 0.05,0.05,NA,NA,c76ce187-ac20-4338-a523-221ab15d3f96
7/29/2025,McDonald,MCDO5,B,3 m,,no,NA,NA,NA,NA,NA,NA,c55a8b52-059e-4d10-b1bf-57a7f7ba1042
8/2/2025,Troublesome,TROU3,A,9 m,,no,NA,NA,NA,NA,NA,NA,cab07c8c-c3e6-4c9c-8b86-0bc2db53beb0
8/8/2025,Isom,ISOM1,B,9 m,,yes,birch,1,,0.14,NA,NA,cf6dc780-7af4-4e25-9aa2-fbe1efa0a4c3
7/29/2025,McDonald,MCDO5,B,6 m,,yes,black spruce,1,Below 0.05,0.05,NA,NA,9ae2e1d6-1520-4665-886c-2681fd3428ad
7/21/2025,Aggie,AGCR2,C,3 m,,yes,black spruce,2,,0.19,0.07,NA,bf21288b-04ab-40ae-bccb-5c100af8f1b7
7/26/2025,Slate,SLAT3,B,3 m,,yes,black spruce,2,All really small under 0.05 bd,0.05,0.05,NA,0830da40-76a2-45a8-848b-6947aae45e43
8/2/2025,Troublesome,TROU2,A,3 m,,no,NA,NA,NA,NA,NA,NA,a59219d2-0ef7-41ea-8216-d771510c0a15
7/29/2025,McDonald,MCDO5,A,9 m,,no,NA,NA,NA,NA,NA,NA,6a2ae9b7-06a5-486d-bc59-187f294bfd11
8/8/2025,Isom,ISOM3,A,3 m,,no,NA,NA,NA,NA,NA,NA,d5245426-b5ba-4582-8f4b-255b3f53e8fe
8/3/2025,Chitanana,CHIT3,C,3 m,,yes,black spruce,1,,0.07,NA,NA,8810451b-4cb3-44a5-b42e-4b435fa75404
8/3/2025,Chitanana,CHIT3,C,3 m,,yes,larch,1,,0.45,NA,NA,8810451b-4cb3-44a5-b42e-4b435fa75404
7/25/2025,McDonald,MCDO2,A,6 m,,no,NA,NA,NA,NA,NA,NA,286394ad-b373-412e-8380-b44ff38766ae
7/22/2025,Aggie,AGCR5,B,3 m,,yes,black spruce,23,,0.34,0.4,1.31,f68da3da-a4e1-424d-b63c-4a69e5732fa7
7/29/2025,McDonald,MCDO5,C,3 m,,no,NA,NA,NA,NA,NA,NA,1c9a470c-a0d3-45a9-882b-cf31978ac159
7/23/2025,Globe,GLOB4,C,9 m,,yes,birch,1,,0.09,NA,NA,f6f7a054-8703-4c6d-b07a-c2a757182a68
7/21/2025,Aggie,AGCR2,A,9 m,,yes,black spruce,5,,0.06,0.06,0.07,"aa34a63f-26f4-466e-9a6e-e38a288823f5,9e71f1c4-3cec-4015-88a4-52ea5e420d43"
8/4/2025,Yukon Creek,YUCR4,A,9 m,,yes,birch,3,,0.7,1.28,0.18,2303968b-b0ff-48ec-a0e6-0b9b35b063de
8/4/2025,Yukon Creek,YUCR4,A,9 m,,yes,black spruce,1,,0.06,NA,NA,2303968b-b0ff-48ec-a0e6-0b9b35b063de
7/25/2025,McDonald,MCDO3,C,3 m,,yes,black spruce,48,Super Small,0.06,0.04,0.04,b20fe406-e7b0-4270-96ce-e331b8ac9cce
8/4/2025,Yukon Creek,YUCR4,A,3 m,,yes,aspen,1,,0.22,NA,NA,b6fabba7-ea55-4915-96d6-c7dbc193ed53
8/4/2025,Yukon Creek,YUCR4,A,3 m,,yes,birch,16,,0.45,0.65,0.7,b6fabba7-ea55-4915-96d6-c7dbc193ed53
7/21/2025,Aggie,AGCR2,A,6 m,,yes,black spruce,5,,0.07,0.09,0.19,116742f7-8fab-4c4f-aabc-bf7b2bc649dd
8/8/2025,Isom,ISOM4,C,6 m,,no,NA,NA,NA,NA,NA,NA,3ace0c1a-72be-4d72-9fd7-4f5a4cd6f9e5
8/4/2025,Yukon Creek,YUCR5,C,6 m,,yes,birch,14,,0.59,0.4,0.25,2d31a006-f8de-498f-89fa-0563f97ce811
8/4/2025,Yukon Creek,YUCR5,C,6 m,,yes,aspen,2,,0.5,0.29,NA,2d31a006-f8de-498f-89fa-0563f97ce811
8/4/2025,Yukon Creek,YUCR5,C,6 m,,yes,black spruce,2,,0.11,0.12,NA,2d31a006-f8de-498f-89fa-0563f97ce811
8/1/2025,Yukon Creek,YUCR3,C,3 m,,no,NA,NA,NA,NA,NA,NA,fe28bec5-fea9-4952-a121-84d4e5523a94
8/2/2025,Troublesome,TROU1,B,3 m,,no,NA,NA,NA,NA,NA,NA,59ee5d16-8615-42b0-bf47-6b61c0d65eaa
8/2/2025,Troublesome,TROU2,C,6 m,,no,NA,NA,NA,NA,NA,NA,8bb3e2c4-c576-4b62-8070-865f4271dabf
7/22/2025,Aggie,AGCR6,C,3 m,,yes,black spruce,12,,0.64,0.73,0.35,e7aa7304-409c-4c59-b0e0-4d3639675a1b
7/22/2025,Aggie,AGCR6,C,3 m,,yes,birch,2,,0.16,0.18,NA,e7aa7304-409c-4c59-b0e0-4d3639675a1b
8/2/2025,Troublesome,TROU3,B,3 m,,no,NA,NA,NA,NA,NA,NA,fe00832c-ff7f-4f98-991c-603f61bdab92
7/25/2025,McDonald,MCDO1,A,6 m,,no,NA,NA,NA,NA,NA,NA,5ff40283-6373-4874-ac45-cef85e4a9471
8/8/2025,Isom,ISOM5,C,6 m,,no,NA,NA,NA,NA,NA,NA,3775941e-fa1d-40fd-ad5e-c5245391a30e
8/8/2025,Isom,ISOM1,A,6 m,,yes,black spruce,1,,0.18,NA,NA,5fb6c0e9-618e-41f6-8fd3-8d890934bfc1
7/22/2025,Aggie,AGCR4,B,6 m,"
",yes,black spruce,3,,0.22,0.2,0.09,b4aca940-defb-4f72-a8ad-ca9554b83414
8/1/2025,Yukon Creek,YUCR3,A,9 m,,no,NA,NA,NA,NA,NA,NA,02c50af4-fbea-459f-822a-0b19a3cf5e9a
7/26/2025,Slate,SLAT1,C,3 m,,no,NA,NA,NA,NA,NA,NA,63506163-81f4-44c5-ab21-26903531b53a
7/27/2025,Slate,SLAT4,A,6 m,,yes,birch,2,"Super tiny, less then 0.05. 50% sure it’s a birch tree but not seeing any evidence of shrubs. ",0.05,0.05,NA,24f46644-3746-45ec-9aa2-91b0ec841ea4
8/3/2025,Chitanana,CHIT3,C,6 m,,yes,black spruce,2,All below 0.5,NA,NA,NA,78915e4e-284b-4cf1-932a-f4c339a4d4ac
8/3/2025,Chitanana,CHIT3,A,9 m,,no,NA,NA,NA,NA,NA,NA,5a8e4859-5421-4c46-8248-d9a48ff04919
8/2/2025,Troublesome,TROU1,B,9 m,,no,NA,NA,NA,NA,NA,NA,fa03d3c4-2e56-4a1c-807e-e635ede1ca9f
8/8/2025,Isom,ISOM1,B,3 m,,yes,birch,1,Looks like an after fire resprout still under DBH,2.2,NA,NA,085bb670-e60c-4899-8191-1021daf02e83
8/3/2025,Chitanana,CHIT3,A,6 m,,no,NA,NA,NA,NA,NA,NA,c4ea78f0-a72d-4db4-92c4-7e2933033b5a
8/4/2025,Yukon Creek,YUCR5,A,6 m,,yes,birch,5,,0.35,0.25,0.42,651a6eaa-fe40-4ba7-ac64-c02f9dd30289
8/4/2025,Yukon Creek,YUCR5,A,6 m,,yes,black spruce,3,,0.48,0.19,0.08,651a6eaa-fe40-4ba7-ac64-c02f9dd30289
7/29/2025,McDonald,MCDO5,A,3 m,,no,NA,NA,NA,NA,NA,NA,d3d1b783-02b1-48f3-9ea1-49aa7e98e1dd
7/25/2025,McDonald,MCDO1,C,6 m,,no,NA,NA,NA,NA,NA,NA,446724ed-70f7-4c56-8b2b-b58ad647e6b3
8/3/2025,Chitanana,CHIT4,B,3 m,,yes,birch,3,Other two birch are below 0.05,0.09,NA,NA,c790047f-d542-427d-a8cd-88205888837c
7/29/2025,McDonald,MCDO6,B,6 m,,no,NA,NA,NA,NA,NA,NA,ffb6b81e-bc64-49f0-9961-f3ca865db597
7/21/2025,Aggie,AGCR1,B,9 m,,no,NA,NA,NA,NA,NA,NA,b1bbe74e-c98a-4db5-a7cf-eeb434ea13a5
7/23/2025,Globe,GLOB4,A,9 m,,yes,birch,2,,0.12,0.1,NA,911e1b6c-9c02-459d-813e-3ac0f0f79be9
8/3/2025,Chitanana,CHIT1,B,6 m,,yes,birch,1,,0.15,NA,NA,ddf74c3a-aa86-4168-811d-9a1b3cf511e6
8/3/2025,Chitanana,CHIT1,B,6 m,,yes,black spruce,3,Below 0.05,NA,NA,NA,ddf74c3a-aa86-4168-811d-9a1b3cf511e6
7/31/2025,Globe,GLOB2,B,6 m,,yes,black spruce,3,Less than 0.05 bd,NA,NA,NA,e5ebfb9d-a7b9-4770-8e15-96716169c3a6
8/3/2025,Chitanana,CHIT1,C,6 m,,no,NA,NA,NA,NA,NA,NA,bfbd076c-c141-453f-aab1-95be30dbd8a0
8/1/2025,Yukon Creek,YUCR3,B,3 m,,yes,black spruce,7,,0.09,0.12,0.1,f0a787a2-0fef-4947-b68e-4637fec71495
8/1/2025,Yukon Creek,YUCR3,B,3 m,,yes,birch,2,BD2 too small,0.2,NA,NA,f0a787a2-0fef-4947-b68e-4637fec71495
7/25/2025,McDonald,MCDO1,C,9 m,,no,NA,NA,NA,NA,NA,NA,89909cbe-b59f-4b81-bdce-c09a7ef674aa
7/23/2025,Globe,GLOB6,B,3 m,,no,NA,NA,NA,NA,NA,NA,713d5cfa-1244-43a9-a4b9-dffa8df0d792
7/25/2025,McDonald,MCDO2,A,9 m,,no,NA,NA,NA,NA,NA,NA,2d8c7645-afe9-4742-936a-680363e4889a
7/26/2025,Slate,SLAT2,A,6 m,,yes,black spruce,1,,0.05,NA,NA,367bf1a8-2b56-4ad3-8bf6-56d7d7683ae9
7/21/2025,Aggie,AGCR2,C,6 m,,yes,black spruce,3,,0.08,0.32,0.1,fde07251-a462-40fa-af26-d486b4136ab1
7/23/2025,Globe,GLOB5,A,6 m,,yes,birch,3,Very tiny seedling,0.04,0.03,0.01,e027991b-bb7e-4d79-ad86-8d351a327a7f
8/1/2025,Yukon Creek,YUCR1,C,9 m,,no,NA,NA,NA,NA,NA,NA,129b8c2e-5920-49bf-82b3-5ac4096dfd71
7/23/2025,Globe,GLOB4,A,6 m,,yes,birch,8,,0.11,0.08,0.06,31a086a6-28f7-42c2-8abb-130202de58a6
7/22/2025,Aggie,AGCR4,A,6 m,,yes,black spruce,5,,0.11,0.35,0.18,ee362ef1-6d8f-4999-83a2-2e188c27f634
7/27/2025,Slate,SLAT6,B,6 m,,no,NA,NA,NA,NA,NA,NA,95b9962f-fbe3-43b3-a487-39330515814c
7/27/2025,Slate,SLAT4,B,3 m,,no,NA,NA,NA,NA,NA,NA,03a5e333-ecee-4960-9321-9d8d962e3fbc
