date,fire_scar,site,plot,CollectionID,location (m),green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,general_notes,sample_photo
8/3/25,Chitanana,CHIT4,B,CHIT4B9,9,0,34,Mineral,45,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/4/25,Yukon Creek,YUCR4,A,YUCR4A3,3,0.1,2,Mineral,34,Mineral,2,Mineral,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/4/25,Yukon Creek,YUCR4,A,YUCR4A6,6,0.1,4.5,Mineral,32,Mineral,1,Mineral,11,11,NA,yes,A6,4.5,4.5,9.5,9.5,10,10,,NA,5,NA,5,NA,Core,Crumbly and dry,,NA
8/4/25,Yukon Creek,YUCR4,A,YUCR4A9,9,1,2,Mineral,52,Mineral,2,Mineral,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB5,C,GLOB5C3,3,0,4.5,Mineral,68,Rock,7.5,Mineral,9,4.5,7,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB5,C,GLOB5C9,9,0,24,"Mineral,Rock",52,Rock,23.5,Mineral,7,6.5,5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB5,C,GLOB5C6,6,0,12,Mineral,38,Rock,22,Mineral,7,8,7.5,yes,C6,12.5,12,12.5,12.5,8,10,,NA,NA,NA,NA,NA,,,,NA
8/4/25,Yukon Creek,YUCR5,A,YUCR5A3,3,0.5,0,Mineral,61,Rock,0,Mineral,19.5,21.5,22,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/4/25,Yukon Creek,YUCR5,A,YUCR5A6,6,0.5,3.5,Mineral,51,Rock,0,Mineral,26,24.5,28,yes,A6,3.5,3.5,9.5,9.5,9,9,,NA,5,5,5,5,Core,,,NA
8/4/25,Yukon Creek,YUCR5,A,YUCR5A9,9,0.1,0.5,Mineral,25,Rock,0,Mineral,18,14,23,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB6,C,GLOB6C3,3,0.5,0,Mineral,22,Rock,0,Mineral,18,16,14.5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB6,C,GLOB6C6,6,0.5,0,Mineral,55,Rock,0,Mineral,20,25.5,21.5,no,C6,0,0,0,0,0,0,No organic taken,NA,5,5,5,5,Core,,,NA
7/23/25,Globe,GLOB6,C,GLOB6C9,9,0.5,0,Mineral,36,Rock,0,Mineral,26,23,21.5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/22/25,Aggie,AGCR4 ,C,AGCR4 C3,3,8,25,"Mineral,Water",110,>100cm,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
