date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,7,NA,0,50,50,25,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,6.1,NA,75,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,no,no,4,NA,NA,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,no,no,3.9,NA,NA,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,no,no,4.8,NA,NA,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,6,NA,100,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,3,NA,NA,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,8.7,NA,50,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,no,no,4.8,NA,NA,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,7.1,NA,50,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,no,no,1.6,NA,NA,100,100,100,0,NA,,,
7/25/2025,McDonald,MCDO3,B,black spruce,yes,no,7.4,NA,25,75,75,50,0,NA,,,
