date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
8/1/2025,Yukon Creek,YUCR3,B,black spruce,yes,no,5.7,NA,50,75,50,25,0,NA,,,
8/1/2025,Yukon Creek,YUCR3,B,black spruce,yes,no,NA,1.4,NA,75,75,25,0,NA,,,
7/31/2025,Globe,GLOB2,B,birch,yes,no,1.1,NA,NA,NA,50,25,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,5,NA,25,25,25,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,0.6,NA,NA,25,25,25,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,1.5,NA,0,25,0,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,no,no,1.5,NA,25,25,25,25,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,2.5,NA,25,25,25,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,1.9,NA,NA,75,75,25,0,2,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,4.1,NA,25,25,0,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,6.9,NA,25,25,25,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,NA,1.3,NA,25,25,0,0,2,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,1.7,NA,25,25,25,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,1.5,NA,25,75,50,25,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,NA,1.9,NA,75,75,50,0,3,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,7.1,NA,25,25,0,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,4.5,NA,25,25,0,0,0,2,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,2.3,NA,25,25,0,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,birch,yes,yes,NA,3.3,NA,NA,NA,NA,25,NA,,,
7/31/2025,Globe,GLOB2,B,birch,yes,yes,NA,1.5,NA,NA,NA,NA,25,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,yes,no,3.6,NA,25,25,25,0,0,NA,,,
7/31/2025,Globe,GLOB2,B,black spruce,no,yes,NA,2,NA,NA,NA,NA,50,NA,,,
7/31/2025,Globe,GLOB2,B,birch,yes,no,NA,2.3,NA,NA,NA,NA,25,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,3.3,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,1.6,NA,NA,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,3.2,NA,NA,25,0,0,0,NA,,,
