date,fire_scar,site,additional_species_list,additional_species_notes,photos
8/8/2025,Isom,ISOM2,"Alnus viridis,Betula neoalaskana,Mertensia paniculata,Petasites frigidus,Polygonum",NA,NA
8/8/2025,Isom,ISOM1,Mertensia paniculata,NA,NA
8/8/2025,Isom,ISOM4,"Empetrum nigrum,Polytrichum juniperinum,Rubus chamaemorus",NA,NA
8/5/2025,Troublesome,TROU4,Mertensia paniculata,NA,NA
7/29/2025,McDonald,MCDO5,"Calamagrostis spp,Corydalis sempervirens,Equisetum scirpoides",NA,NA
7/25/2025,McDonald,MCDO1,Corydalis sempervirens,NA,NA
7/23/2025,Globe,GLOB5,"Alnus viridis,Corydalis sempervirens",NA,NA
