"","date","fire_scar","site","plot","location","site_notes","resprouts_present","resprout_species","resprout_count","resprout_notes","r_bd1","r_bd2"
"138","2024-07-14","Haystack","Hays1","C","6 m","","no",NA,NA,NA,NA,NA
"139","2024-07-18","Lost Horse","LoHo4 ","C","9 m","","no",NA,NA,NA,NA,NA
"140","2024-07-25","Haystack","Hays6","C","6 m","","no",NA,NA,NA,NA,NA
"141","2024-07-23","Hess Creek","HeCr5","A","3 m","","no",NA,NA,NA,NA,NA
"142","2024-07-31","Nugget Creek","NuCr5","B","6 m","","no",NA,NA,NA,NA,NA
"143","2024-07-16","Shovel Creek","ShCr4","A","9 m","","no",NA,NA,NA,NA,NA
"144","2024-07-16","Shovel Creek","ShCr4","B","6 m","","no",NA,NA,NA,NA,NA
"145","2024-07-18","Lost Horse","LoHo5","C","6 m","","no",NA,NA,NA,NA,NA
"146","2024-08-04","Munson Creek","MuCr4","B","3 m","","no",NA,NA,NA,NA,NA
"147","2024-07-28","McCoy Creek","McCr4","C","6 m","","no",NA,NA,NA,NA,NA
"148","2024-07-16","Shovel Creek","ShCr3","A","9 m","","no",NA,NA,NA,NA,NA
"149","2024-08-06","Dry Creek","DrCr5","B","3 m","","no",NA,NA,NA,NA,NA
"150","2024-07-23","Hess Creek","HeCr5","A","6 m","LC soil sample at 7.3","no",NA,NA,NA,NA,NA
"151","2024-07-18","Lost Horse","LoHo4 ","A","3 m","","no",NA,NA,NA,NA,NA
"152","2024-07-25","Haystack","Hays5","B","9 m","","no",NA,NA,NA,NA,NA
"153","2024-07-18","Lost Horse","LoHo5","A","6 m","","no",NA,NA,NA,NA,NA
"154","2024-08-02","Teklanika ","Tekl4","A","6 m","","no",NA,NA,NA,NA,NA
"155","2024-07-17","Shovel Creek","ShCr5","B","6 m","","no",NA,NA,NA,NA,NA
"156","2024-08-05","Dry Creek","DrCr2","A","6 m","","no",NA,NA,NA,NA,NA
"157","2024-07-15","Lost Horse","LoHo2","A","6 m","","no",NA,NA,NA,NA,NA
"158","2024-07-14","Haystack","Hays2","C","9 m","Photo taken from far side","no",NA,NA,NA,NA,NA
"159","2024-07-15","Lost Horse","LoHo2","C","9 m","","no",NA,NA,NA,NA,NA
"160","2024-07-18","Lost Horse","LoHo5","A","9 m","","no",NA,NA,NA,NA,NA
"161","2024-08-06","Dry Creek","DrCr5","A","6 m","","no",NA,NA,NA,NA,NA
"162","2024-07-28","McCoy Creek","McCr1","A","3 m","","no",NA,NA,NA,NA,NA
"163","2024-08-02","Teklanika ","Tekl4","B","6 m","","no",NA,NA,NA,NA,NA
"164","2024-07-14","Haystack","Hays2","C","6 m","","no",NA,NA,NA,NA,NA
"165","2024-08-05","Dry Creek","DrCr2","A","3 m","","no",NA,NA,NA,NA,NA
"166","2024-07-23","Hess Creek","HeCr5","C","9 m","","no",NA,NA,NA,NA,NA
"167","2024-07-22","Hess Creek","HeCr2","B","6 m","","no",NA,NA,NA,NA,NA
"168","2024-07-25","Haystack","Hays5","C","3 m","","no",NA,NA,NA,NA,NA
"169","2024-07-17","Shovel Creek","ShCr6","A","9 m","","no",NA,NA,NA,NA,NA
"170","2024-07-23","Hess Creek","HeCr4","A","3 m","","no",NA,NA,NA,NA,NA
"171","2024-08-02","Teklanika ","Tekl5","C","6 m","","no",NA,NA,NA,NA,NA
"172","2024-07-31","Nugget Creek","NuCr6","A","3 m","","no",NA,NA,NA,NA,NA
"173","2024-07-18","Lost Horse","LoHo6","B","9 m","","no",NA,NA,NA,NA,NA
"174","2024-07-16","Shovel Creek","ShCr4","B","9 m","","no",NA,NA,NA,NA,NA
"175","2024-07-22","Hess Creek","HeCr1","C","9 m","","no",NA,NA,NA,NA,NA
"176","2024-07-16","Shovel Creek","ShCr3","B","9 m","","no",NA,NA,NA,NA,NA
"177","2024-07-31","Nugget Creek","NuCr6","B","6 m","","no",NA,NA,NA,NA,NA
"178","2024-07-28","McCoy Creek","McCr5","B","6 m","","no",NA,NA,NA,NA,NA
"179","2024-07-22","Hess Creek","HeCr2","A","3 m","","no",NA,NA,NA,NA,NA
"180","2024-07-25","Haystack","Hays6","A","3 m","","no",NA,NA,NA,NA,NA
"181","2024-07-22","Hess Creek","HeCr1","A","9 m","","no",NA,NA,NA,NA,NA
"182","2024-07-22","Hess Creek","HeCr3","B","6 m","","no",NA,NA,NA,NA,NA
"183","2024-08-05","Dry Creek","DrCr3","B","3 m","","no",NA,NA,NA,NA,NA
"184","2024-07-25","Haystack","Hays4","A","8","","no",NA,NA,NA,NA,NA
"185","2024-07-15","Lost Horse","LoHo3","A","9 m","","no",NA,NA,NA,NA,NA
"186","2024-07-30","Nugget Creek","NuCr1","C","3 m","","no",NA,NA,NA,NA,NA
"187","2024-07-16","Shovel Creek","ShCr1","C","9 m","","no",NA,NA,NA,NA,NA
"188","2024-07-18","Lost Horse","LoHo4 ","B","9 m","","no",NA,NA,NA,NA,NA
"189","2024-08-01","Munson Creek","MuCr1","B","6 m","","no",NA,NA,NA,NA,NA
"190","2024-07-22","Hess Creek","HeCr3","A","6 m","","no",NA,NA,NA,NA,NA
"191","2024-07-25","Haystack","Hays4","C","3 m","","no",NA,NA,NA,NA,NA
"192","2024-07-28","McCoy Creek","McCr5","A","3 m","","no",NA,NA,NA,NA,NA
"193","2024-08-07","McCoy Creek","McCr3","C","6 m","","no",NA,NA,NA,NA,NA
"194","2024-07-17","Shovel Creek","ShCr5","A","9 m","","no",NA,NA,NA,NA,NA
"195","2024-08-05","Dry Creek","DrCr3","C","3 m","","no",NA,NA,NA,NA,NA
"196","2024-08-03","Teklanika ","Tekl1","C","3 m","","no",NA,NA,NA,NA,NA
"197","2024-07-22","Hess Creek","HeCr3","B","3 m","","no",NA,NA,NA,NA,NA
"198","2024-07-18","Lost Horse","LoHo4 ","C","6 m","","no",NA,NA,NA,NA,NA
"199","2024-07-14","Haystack","Hays1","B","9 m","","no",NA,NA,NA,NA,NA
"200","2024-08-02","Teklanika ","Tekl5","C","3 m","","no",NA,NA,NA,NA,NA
"201","2024-07-16","Shovel Creek","ShCr4","C","3 m","","no",NA,NA,NA,NA,NA
"202","2024-07-18","Lost Horse","LoHo6","C","9 m","","no",NA,NA,NA,NA,NA
"203","2024-08-06","Dry Creek","DrCr6","C","3 m","","no",NA,NA,NA,NA,NA
"204","2024-07-30","Nugget Creek","NuCr2","A","3 m","","no",NA,NA,NA,NA,NA
"205","2024-07-18","Lost Horse","LoHo5","C","3 m","","no",NA,NA,NA,NA,NA
"206","2024-07-17","Shovel Creek","ShCr6","A","6 m","","no",NA,NA,NA,NA,NA
"207","2024-07-23","Hess Creek","HeCr6","B","3 m","","no",NA,NA,NA,NA,NA
"208","2024-07-22","Hess Creek","HeCr2","A","9 m","","no",NA,NA,NA,NA,NA
"209","2024-07-30","Nugget Creek","NuCr1","C","6 m","","no",NA,NA,NA,NA,NA
"210","2024-07-28","McCoy Creek","McCr1","B","6 m","","no",NA,NA,NA,NA,NA
"211","2024-08-06","Dry Creek","DrCr5","A","3 m","","no",NA,NA,NA,NA,NA
"212","2024-08-03","Teklanika ","Tekl1","C","6 m","","no",NA,NA,NA,NA,NA
"213","2024-07-22","Hess Creek","HeCr1","B","9 m","","no",NA,NA,NA,NA,NA
"214","2024-07-23","Hess Creek","HeCr4","C","9 m","","no",NA,NA,NA,NA,NA
"215","2024-08-01","Munson Creek","MuCr2","B","6 m","","no",NA,NA,NA,NA,NA
"216","2024-07-14","Haystack","Hays2","A","9 m","","no",NA,NA,NA,NA,NA
"217","2024-07-23","Hess Creek","HeCr5","B","9 m","","no",NA,NA,NA,NA,NA
"218","2024-08-03","Teklanika ","Tekl1","B","3 m","","no",NA,NA,NA,NA,NA
"219","2024-07-15","Lost Horse","LoHo3","B","9 m","","no",NA,NA,NA,NA,NA
"220","2024-07-16","Shovel Creek","ShCr1","B","3 m","","no",NA,NA,NA,NA,NA
"221","2024-08-02","Teklanika ","Tekl4","C","6 m","","no",NA,NA,NA,NA,NA
"222","2024-07-14","Haystack","Hays3","B","9 m","","no",NA,NA,NA,NA,NA
"223","2024-07-16","Shovel Creek","ShCr4","C","6 m","","no",NA,NA,NA,NA,NA
"224","2024-07-28","McCoy Creek","McCr1","A","9 m","Aligned plot with pole rather than meter","no",NA,NA,NA,NA,NA
"225","2024-08-01","Munson Creek","MuCr1","B","9 m","Quadrat placed at 9m just to capture seedlings. No other data collected at 9m","no",NA,NA,NA,NA,NA
"226","2024-08-07","McCoy Creek","McCr3","C","3 m","","no",NA,NA,NA,NA,NA
"227","2024-07-18","Lost Horse","LoHo5","B","6 m","","no",NA,NA,NA,NA,NA
"228","2024-07-16","Shovel Creek","ShCr4","B","3 m","","yes","birch",2,"5m tall resprout, two stems in, dbh for bd1 0.5",1.6,1.15
"229","2024-08-03","Teklanika ","Tekl2","A","6 m","","no",NA,NA,NA,NA,NA
"230","2024-07-23","Hess Creek","HeCr4","C","6 m","","no",NA,NA,NA,NA,NA
"231","2024-07-25","Haystack","Hays6","B","3 m","","no",NA,NA,NA,NA,NA
"232","2024-07-15","Lost Horse","LoHo2","A","9 m","","no",NA,NA,NA,NA,NA
"233","2024-08-05","Dry Creek","DrCr3","A","6 m","","no",NA,NA,NA,NA,NA
"234","2024-08-01","Munson Creek","MuCr1","C","3 m","","no",NA,NA,NA,NA,NA
"235","2024-07-15","Lost Horse","LoHo3","B","3 m","","no",NA,NA,NA,NA,NA
"236","2024-07-14","Haystack","Hays3","B","6 m","","no",NA,NA,NA,NA,NA
"237","2024-07-16","Shovel Creek","ShCr3","B","3 m","","no",NA,NA,NA,NA,NA
"238","2024-08-03","Teklanika ","Tekl2","C","3 m","","no",NA,NA,NA,NA,NA
"239","2024-08-01","Munson Creek","MuCr3","C","3 m","","no",NA,NA,NA,NA,NA
"240","2024-07-16","Shovel Creek","ShCr3","B","6 m","","no",NA,NA,NA,NA,NA
"241","2024-07-22","Hess Creek","HeCr1","C","6 m","","no",NA,NA,NA,NA,NA
"242","2024-07-29","McCoy Creek","McCr2","C","3 m","","no",NA,NA,NA,NA,NA
"243","2024-07-28","McCoy Creek","McCr1","C","3 m","","no",NA,NA,NA,NA,NA
"244","2024-07-16","Shovel Creek","ShCr3","A","3 m","","no",NA,NA,NA,NA,NA
"245","2024-07-29","McCoy Creek","McCr2","B","3 m","","no",NA,NA,NA,NA,NA
"246","2024-07-16","Shovel Creek","ShCr4","A","3 m","","no",NA,NA,NA,NA,NA
"247","2024-07-23","Hess Creek","HeCr6","A","3 m","","no",NA,NA,NA,NA,NA
