"","date","fire_scar","site","plot","location","site_notes","resprouts_present","resprout_species","resprout_count","resprout_notes","r_bd1","r_bd2"
"314","2024-07-23","Hess Creek","HeCr6","C","6 m","","no",NA,NA,NA,NA,NA
"315","2024-08-07","McCoy Creek","McCr3","B","3 m","","no",NA,NA,NA,NA,NA
"316","2024-07-15","Lost Horse","LoHo1","C","3 m","","no",NA,NA,NA,NA,NA
"317","2024-08-01","Munson Creek","MuCr2","B","3 m","2nd pic is Unkn liverwort in ground cover","no",NA,NA,NA,NA,NA
"318","2024-07-29","McCoy Creek","McCr2","A","3 m","","no",NA,NA,NA,NA,NA
"319","2024-07-25","Haystack","Hays4","B","9 m","","no",NA,NA,NA,NA,NA
"320","2024-07-16","Shovel Creek","ShCr1","C","6 m","","no",NA,NA,NA,NA,NA
"321","2024-07-31","Nugget Creek","NuCr4","B","3 m","","no",NA,NA,NA,NA,NA
"322","2024-07-15","Lost Horse","LoHo1","B","6 m","","no",NA,NA,NA,NA,NA
"323","2024-08-02","Teklanika ","Tekl4","B","3 m","","no",NA,NA,NA,NA,NA
"324","2024-07-29","McCoy Creek","McCr2","A","6 m","","no",NA,NA,NA,NA,NA
"325","2024-08-07","McCoy Creek","McCr3","A","3 m","","no",NA,NA,NA,NA,NA
"326","2024-07-30","Nugget Creek","NuCr3","A","6 m","","no",NA,NA,NA,NA,NA
"327","2024-07-14","Haystack","Hays3","A","3 m","","no",NA,NA,NA,NA,NA
"328","2024-07-31","Nugget Creek","NuCr4","B","6 m","","no",NA,NA,NA,NA,NA
"329","2024-08-06","Dry Creek","DrCr4","B","3 m","","no",NA,NA,NA,NA,NA
"330","2024-07-31","Nugget Creek","NuCr4","C","3 m","","no",NA,NA,NA,NA,NA
"331","2024-07-23","Hess Creek","HeCr5","B","6 m","","no",NA,NA,NA,NA,NA
"332","2024-07-28","McCoy Creek","McCr4","B","3 m","","no",NA,NA,NA,NA,NA
"333","2024-07-29","McCoy Creek","McCr6","B","6 m","","no",NA,NA,NA,NA,NA
"334","2024-07-23","Hess Creek","HeCr4","A","9 m","","no",NA,NA,NA,NA,NA
"335","2024-07-14","Haystack","Hays2","A","3 m","","no",NA,NA,NA,NA,NA
"336","2024-08-01","Munson Creek","MuCr3","A","3 m","","no",NA,NA,NA,NA,NA
"337","2024-08-01","Munson Creek","MuCr2","A","6 m","","no",NA,NA,NA,NA,NA
"338","2024-07-15","Lost Horse","LoHo3","C","9 m","","no",NA,NA,NA,NA,NA
"339","2024-08-01","Munson Creek","MuCr1","A","0 m","0m, not 9m. Entered as 9 due to fulcrum set up.","no",NA,NA,NA,NA,NA
"340","2024-07-23","Hess Creek","HeCr6","B","9 m","","no",NA,NA,NA,NA,NA
"341","2024-07-16","Shovel Creek","ShCr2","A","3 m","","no",NA,NA,NA,NA,NA
