"","date","project","fire_scar","site","plot","location","site_notes","seedlings_present","species","seedling_count","bd1","bd2","bd3"
"275","2024-07-16","CCE","Shovel Creek","ShCr4","C","6 m","","yes","birch",1,0.05,NA,NA
"276","2024-07-28","CCE","McCoy Creek","McCr1","A","9 m","Aligned plot with pole rather than meter","yes","black spruce",5,0.01,0.01,0.01
"277","2024-08-01","CCE","Munson Creek","MuCr1","B","9 m","Quadrat placed at 9m just to capture seedlings. No other data collected at 9m","yes","black spruce",2,0.01,NA,NA
"278","2024-08-07","CCE","McCoy Creek","McCr3","C","3 m","","yes","black spruce",2,0.01,0.01,NA
"279","2024-07-18","CCE","Lost Horse","LoHo5","B","6 m","","no",NA,NA,NA,NA,NA
"280","2024-07-16","CCE","Shovel Creek","ShCr4","B","3 m","","yes","black spruce",1,0.1,NA,NA
"281","2024-08-03","CCE","Teklanika ","Tekl2","A","6 m","","no",NA,NA,NA,NA,NA
"282","2024-07-23","CCE","Hess Creek","HeCr4","C","6 m","","yes","birch",2,0.1,0.08,NA
"283","2024-07-25","CCE","Haystack","Hays6","B","3 m","","no",NA,NA,NA,NA,NA
"284","2024-07-15","CCE","Lost Horse","LoHo2","A","9 m","","no",NA,NA,NA,NA,NA
"285","2024-08-05","CCE","Dry Creek","DrCr3","A","6 m","","yes","black spruce",2,0.02,0.02,NA
"286","2024-08-01","CCE","Munson Creek","MuCr1","C","3 m","","no",NA,NA,NA,NA,NA
"287","2024-07-15","CCE","Lost Horse","LoHo3","B","3 m","","no",NA,NA,NA,NA,NA
"288","2024-07-14","CCE","Haystack","Hays3","B","6 m","","no",NA,NA,NA,NA,NA
"289","2024-07-16","CCE","Shovel Creek","ShCr3","B","3 m","","no",NA,NA,NA,NA,NA
"290","2024-08-03","CCE","Teklanika ","Tekl2","C","3 m","","yes","black spruce",23,0.1,0.05,0.04
"291","2024-08-01","CCE","Munson Creek","MuCr3","C","3 m","","yes","black spruce",1,0.72,NA,NA
"292","2024-07-16","CCE","Shovel Creek","ShCr3","B","6 m","","yes","black spruce",1,0.12,NA,NA
"293","2024-07-22","CCE","Hess Creek","HeCr1","C","6 m","","no",NA,NA,NA,NA,NA
"294","2024-07-29","CCE","McCoy Creek","McCr2","C","3 m","","no",NA,NA,NA,NA,NA
"295","2024-07-28","CCE","McCoy Creek","McCr1","C","3 m","","yes","black spruce",4,0.01,0.02,0.01
"296","2024-07-16","CCE","Shovel Creek","ShCr3","A","3 m","","yes","birch",1,0.1,NA,NA
"297","2024-07-16","CCE","Shovel Creek","ShCr3","A","3 m","","yes","black spruce",3,0.1,0.1,0.1
"298","2024-07-29","CCE","McCoy Creek","McCr2","B","3 m","","yes","black spruce",1,0.02,NA,NA
"299","2024-07-16","CCE","Shovel Creek","ShCr4","A","3 m","","yes","black spruce",2,0.01,0.01,NA
"300","2024-07-23","CCE","Hess Creek","HeCr6","A","3 m","","yes","birch",1,0.22,NA,NA
"301","2024-07-23","CCE","Hess Creek","HeCr6","A","3 m","","yes","black spruce",1,0.36,NA,NA
"302","2024-07-29","CCE","McCoy Creek","McCr6","A","3 m","","no",NA,NA,NA,NA,NA
"303","2024-07-15","CCE","Lost Horse","LoHo1","C","9 m","","no",NA,NA,NA,NA,NA
"304","2024-07-29","CCE","McCoy Creek","McCr6","C","3 m","","yes","black spruce",2,0.03,0.02,NA
"305","2024-08-01","CCE","Munson Creek","MuCr1","C","9 m","Added extra quadrat to capture seedlings. Did not collect data for anything other than seedlings. ","no",NA,NA,NA,NA,NA
"306","2024-07-25","CCE","Haystack","Hays5","A","3 m","","no",NA,NA,NA,NA,NA
"307","2024-07-28","CCE","McCoy Creek","McCr4","A","3 m","","no",NA,NA,NA,NA,NA
