"","date","project","fire_scar","site","plot","location","site_notes","seedlings_present","species","seedling_count","bd1","bd2","bd3"
"473","2024-07-15","CCE","Lost Horse","LoHo3","C","6 m","","no",NA,NA,NA,NA,NA
"474","2024-08-03","CCE","Teklanika ","Tekl3","B","3 m","","no",NA,NA,NA,NA,NA
"475","2024-07-23","CCE","Hess Creek","HeCr5","C","6 m","","yes","black spruce",4,0.01,0.05,0.05
"476","2024-07-23","CCE","Hess Creek","HeCr4","B","6 m","LC soil sample hole in plot","no",NA,NA,NA,NA,NA
"477","2024-07-29","CCE","McCoy Creek","McCr6","B","3 m","","no",NA,NA,NA,NA,NA
"478","2024-07-18","CCE","Lost Horse","LoHo5","A","3 m","","no",NA,NA,NA,NA,NA
"479","2024-08-01","CCE","Munson Creek","MuCr2","C","3 m","","yes","black spruce",5,0.11,0.07,0.01
"480","2024-08-01","CCE","Munson Creek","MuCr2","C","3 m","","yes","birch",2,0.01,0.04,NA
"481","2024-07-15","CCE","Lost Horse","LoHo1","A","3 m","","no",NA,NA,NA,NA,NA
"482","2024-07-18","CCE","Lost Horse","LoHo5","B","3 m","","no",NA,NA,NA,NA,NA
