_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_record_project,_record_assigned_to,_created_by,_updated_by,_index,_changeset_id,_created_duration,_updated_duration,_edited_duration,shrub_regen_species,shrub_regen_count,shrub_notes,s_bd1,s_bd2,s_bd3
7c6f53bc-1a6a-4860-a75f-b3a4a7bc6181,32d32694-9bcb-4f60-94bd-15194affe0d9,32d32694-9bcb-4f60-94bd-15194affe0d9,Salix,1,2025-07-22 01:55:16 UTC,2025-07-22 01:55:35 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,19,19,19,Salix,2,,2.13,2.19,
996d1f16-7ba6-4f76-8a5d-9c0029660034,8f1a9b34-5ac8-4e7b-b14f-86f7388f5f25,8f1a9b34-5ac8-4e7b-b14f-86f7388f5f25,Alder,1,2025-07-22 21:56:01 UTC,2025-07-22 21:56:16 UTC,,,Xanthe Walker,Xanthe Walker,0,b0205f92-048b-49c2-9bc8-e79bf2946dbd,14,14,14,Alder,2,,1.53,2.56,
