"","date","fire_scar","site","plot","count_1_hr","count_10_hr","count_100_hr","count_1000_hr"
"1","2024-07-14","Haystack","Hays1","A",4,1,0,0
"2","2024-07-14","Haystack","Hays1","B",3,1,0,0
"3","2024-07-14","Haystack","Hays2","A",0,2,0,0
"4","2024-07-14","Haystack","Hays2","B",2,2,2,0
"5","2024-07-14","Haystack","Hays2","C",5,0,0,0
"6","2024-07-14","Haystack","Hays3","A",0,1,1,0
"7","2024-07-14","Haystack","Hays3","B",1,0,1,0
"8","2024-07-14","Haystack","Hays3","C",1,0,1,0
"9","2024-07-14","Haystack","Hays1","C",2,1,0,0
"10","2024-07-15","Lost horse ","LoHo1","A",0,0,1,0
"11","2024-07-15","Lost horse ","LoHo1","B",0,0,0,0
"12","2024-07-15","Lost horse ","LoHo1 ","C",0,1,0,0
"13","2024-07-15","Lost horse ","LoHo2","C",2,0,0,0
"14","2024-07-15","Lost horse ","LoHo2","B",5,4,1,0
"15","2024-07-15","Lost horse ","LoHo2","A",0,0,0,0
"16","2024-07-15","Lost horse","LOHO3","A",2,0,0,0
"17","2024-07-15","Lost horse","LOHO3","B",3,1,1,0
"18","2024-07-15","Lost horse","LOHO3","C",3,0,0,0
"19","2024-07-16","Shovel Creek","ShCr1","A",5,3,0,0
"20","2024-07-16","Shovel Creek","ShCr1","B",0,2,0,1
"21","2024-07-16","Shovel Creek","ShCr1 ","C",0,0,0,0
"22","2024-07-16","Shovel Creek","ShCr2","A",10,4,5,1
"23","2024-07-16","Shovel Creek","ShCr2","B",3,2,16,3
"24","2024-07-16","Shovel Creek","ShCr2","C",2,6,11,0
"25","2024-07-16","Shovel Creek","ShCr3","A",0,0,1,1
"26","2024-07-16","Shovel Creek","ShCr3","B",4,0,5,2
"27","2024-07-16","Shovel Creek","ShCr3","C",3,0,1,0
"28","2024-07-16","Shovel Creek","ShCr4","A",1,0,0,3
"29","2024-07-16","Shovel Creek","ShCr4","B",1,2,3,4
"30","2024-07-16","Shovel Creek","ShCr4","C",2,3,1,2
"31","2024-07-17","Shovel Creek","ShCr5","A",2,4,5,3
"32","2024-07-17","Shovel Creek","ShCr5","B",20,8,5,3
"33","2024-07-17","Shovel Creek","ShCr5","C",7,1,1,12
"34","2024-07-17","Shovel Creek","ShCr6","A",5,0,0,0
"35","2024-07-17","Shovel Creek","ShCr6","B",2,0,0,0
"36","2024-07-17","Shovel Creek","ShCr6","C",26,5,0,0
"37","2024-07-18","Lost Horse","LoHo4","C",4,0,0,0
"38","2024-07-18","Lost Horse","LoHo4","B",4,2,0,0
"39","2024-07-18","Lost Horse","LoHo4","A",0,1,0,0
"40","2024-07-18","Haystack","LoHo5","A",2,0,1,0
"41","2024-07-18","Haystack","LoHo5","B",1,0,0,0
"42","2024-07-18","Haystack","LoHo5","C",1,2,0,0
"43","2024-07-18","Haystack","LoHo6","A",2,0,0,0
"44","2024-07-18","Haystack","LoHo6","B",0,4,0,2
"45","2024-07-18","Haystack","LoHo6","C",3,5,1,0
"46","2024-07-22","Hess Creek","HeCr1","A",2,0,0,0
"47","2024-07-22","Hess Creek","HeCr1","B",6,9,1,0
"48","2024-07-22","Hess Creek","HeCr1","C",1,5,2,3
"49","2024-07-22","Hess Creek","HeCr2","A",0,2,2,1
"50","2024-07-22","Hess Creek","HeCr2","B",0,0,1,3
"51","2024-07-22","Hess Creek","HeCr2","C",0,1,5,0
"52","2024-07-22","Hess Creek
","HeCr3","A",1,3,0,0
"53","2024-07-22","Hess Creek
","HeCr3","B",1,3,3,0
"54","2024-07-22","Hess Creek
","HeCr3","C",2,3,0,0
"55","2024-07-23","Hess Creek
","HeCr4","A",7,0,0,0
"56","2024-07-23","Hess Creek
","HeCr4","B",3,1,0,0
"57","2024-07-23","Hess Creek
","HeCr4","C",3,0,0,0
"58","2024-07-23","Hess Creek
","HeCr5","C",2,2,1,0
"59","2024-07-23","Hess Creek
","HeCr5","B",7,1,1,0
"60","2024-07-23","Hess Creek
","HeCr5","A",7,2,2,0
"61","2024-07-23","Hess creek","HeCr6","C",0,0,0,0
"62","2024-07-23","Hess creek","HeCr6","B",1,1,0,0
"63","2024-07-23","Hess creek","HeCr6","A",1,0,0,0
"64","2024-07-25","Haystack","Hays4","A",8,3,1,0
"65","2024-07-25","Haystack","Hays4","B",4,1,0,0
"66","2024-07-25","Haystack","Hays4","C",7,1,1,0
"67","2024-07-25","Haystack","Hays5","B",4,1,1,0
"68","2024-07-25","Haystack","Hays5","C",4,0,0,0
"69","2024-07-25","Haystack","Hays5","A",0,0,0,1
"70","2024-07-25","Haystack","Hays6","A",0,0,0,0
"71","2024-07-25","Haystack","Hays6","B",10,0,0,0
"72","2024-07-25","Haystack","Hays6","C",11,1,0,2
"73","2024-07-28","McCoy creek","McCr1","A",9,0,0,0
"74","2024-07-28","McCoy creek","McCr1","B",7,0,0,0
"75","2024-07-28","McCoy creek","McCr1","C",5,0,0,0
"76","2024-07-28","McCoy creek","McCr4","A",12,1,5,0
"77","2024-07-28","McCoy creek","McCr4","B",35,7,4,3
"78","2024-07-28","McCoy creek","McCr4","C",35,3,6,5
"79","2024-07-29","McCoy Creek","McCr5","A",4,0,0,0
"80","2024-07-29","McCoy Creek","McCr5","B",1,0,0,0
"81","2024-07-29","McCoy Creek","McCr5","C",6,0,0,0
"82","2024-07-29","McCoy Creek","McCr2","A",1,0,0,0
"83","2024-07-29","McCoy Creek","McCr2","B",1,2,0,0
"84","2024-07-29","McCoy Creek","McCr2","C",1,0,0,0
