"","date","fire_scar","site","plot","count_1_hr","count_10_hr","count_100_hr","count_1000_hr"
"85","2024-07-29","McCoy creek","McCr6","A",12,2,0,0
"86","2024-07-29","McCoy creek","McCr6","B",10,2,2,0
"87","2024-07-29","McCoy creek","McCr6","C",8,0,5,0
"88","2024-07-30","Nugget Creek","NuCr1","A",3,0,3,0
"89","2024-07-30","Nugget Creek","NuCr1","B",8,1,0,0
"90","2024-07-30","Nugget Creek","NuCr1","C",6,2,0,0
"91","2024-07-30","Nugget Creek","NuCr2","A",6,1,0,1
"92","2024-07-30","Nugget Creek","NuCr2","B",11,1,0,0
"93","2024-07-30","Nugget Creek","NuCr2","C",7,0,1,0
"94","2024-07-30","Nugget Creek","NuCr3","A",5,6,19,3
"95","2024-07-30","Nugget Creek","NuCr3","B",26,1,13,2
"96","2024-07-30","Nugget Creek","NuCr3","C",34,5,20,1
"97","2024-07-31","Nugget Creek","NuCr4","A",6,1,2,0
"98","2024-07-31","Nugget Creek","NuCr4","B",3,2,1,2
"99","2024-07-31","Nugget Creek","NuCr4","C",19,5,2,0
"100","2024-07-31","Nugget Creek","NuCr5","A",19,3,2,0
"101","2024-07-31","Nugget Creek","NuCr5","B",9,2,3,0
"102","2024-07-31","Nugget Creek","NuCr5","C",6,0,2,0
"103","2024-07-31","Nugget Creek","NuCr6","A",2,1,10,4
"104","2024-07-31","Nugget Creek","NuCr6","B",26,3,15,8
"105","2024-07-31","Nugget Creek","NuCr6","C",42,9,8,11
"106","2024-08-01","Munson Creek","MuCr1","A",21,0,0,0
"107","2024-08-01","Munson Creek","MuCr1","B",13,0,4,0
"108","2024-08-01","Munson Creek","MuCr1","C",15,0,0,0
"109","2024-08-01","Munson Creek","MuCr2","B",23,3,1,1
"110","2024-08-01","Munson Creek","MuCr2","A",21,4,3,3
"111","2024-08-01","Munson Creek","MuCr2","C",37,3,4,3
"112","2024-08-01","Munson Creek","MuCr3","A",13,4,1,0
"113","2024-08-01","Munson Creek","MuCr3","B",12,2,0,0
"114","2024-08-01","Munson Creek","MuCr3","C",16,0,0,0
"115","2024-08-02","Teklanika ","Tekl4","A",6,0,0,1
"116","2024-08-02","Teklanika ","Tekl4","B",8,0,1,0
"117","2024-08-02","Teklanika ","Tekl4","C",8,1,0,0
"118","2024-08-02","Teklanika ","Tekl6","A",0,1,0,0
"119","2024-08-02","Teklanika ","Tekl6","B",0,0,0,0
"120","2024-08-02","Teklanika ","Tekl6","C",1,0,1,0
"121","2024-08-02","Teklanika","Tekl5","A",6,0,0,0
"122","2024-08-02","Teklanika","Tekl5","B",7,1,0,0
"123","2024-08-02","Teklanika","Tekl5","C",5,0,2,0
"124","2024-08-03","Teklanika ","Tekl1","B",0,1,0,0
"125","2024-08-03","Teklanika ","Tekl1","C",0,0,0,0
"126","2024-08-03","Teklanika ","Tekl1","A",0,0,0,0
"127","2024-08-03","Teklanika ","Tekl3","A",0,0,0,0
"128","2024-08-03","Teklanika ","Tekl3","B",0,1,0,0
"129","2024-08-03","Teklanika ","Tekl3","C",2,0,0,0
"130","2024-08-03","Teklanika","Tekl2","A",3,2,1,0
"131","2024-08-03","Teklanika","Tekl2","B",4,3,1,0
"132","2024-08-03","Teklanika","Tekl2","C",5,2,1,0
"133","2024-08-04","Munson Creek ","MuCr4","A",6,0,0,1
"134","2024-08-04","Munson Creek ","MuCr4","B",8,0,0,0
"135","2024-08-04","Munson Creek ","MuCr4","C",37,1,1,0
"136","2024-08-04","Munson Creek ","MuCr5","A",8,1,0,0
"137","2024-08-04","Munson Creek ","MuCr5","B",4,1,0,1
"138","2024-08-04","Munson Creek ","MuCr5","C",2,0,0,0
"139","2024-08-05","Dry Creek","DrCr1","A",0,0,1,0
"140","2024-08-05","Dry Creek","DrCr1","B",1,1,0,0
"141","2024-08-05","Dry Creek","DrCr1","C",0,0,0,0
"142","2024-08-05","Dry Creek ","DrCr2","A",2,2,0,0
"143","2024-08-05","Dry Creek ","DrCr2","B",5,2,0,0
"144","2024-08-05","Dry Creek ","DrCr2","C",5,0,0,0
"145","2024-08-05","Dry Creek ","DrCr3","A",4,1,0,0
"146","2024-08-05","Dry Creek ","DrCr3","B",3,1,0,0
"147","2024-08-05","Dry Creek ","DrCr3","C",4,0,0,0
"148","2024-08-06","Dry Creek ","DrCr4","A",4,0,0,0
"149","2024-08-06","Dry Creek ","DrCr4","B",17,1,0,0
"150","2024-08-06","Dry Creek ","DrCr4","C",21,1,0,0
"151","2024-08-06","Dry Creek ","DrCr5","A",4,0,0,0
"152","2024-08-06","Dry Creek ","DrCr5","B",11,1,0,0
"153","2024-08-06","Dry Creek ","DrCr5","C",9,2,0,0
"154","2024-08-06","Dry Creek ","DrCr6","A",6,0,0,0
"155","2024-08-06","Dry Creek ","DrCr6","B",5,0,0,0
"156","2024-08-06","Dry Creek ","DrCr6","C",6,0,1,0
"157","2024-08-07","McCoy Creek","McCr3","A",4,2,0,0
"158","2024-08-07","McCoy Creek","McCr3","B",5,1,0,0
"159","2024-08-07","McCoy Creek","McCr3","C",7,1,0,0
