"","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","count","livedead","tree_notes"
"53","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,4.1,NA,100,100,100,0,NA,"",""
"54","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",2.3,NA,100,100,100,75,0,NA,"",""
"55","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",NA,4.1,NA,NA,NA,NA,0,NA,"",""
"56","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",2.6,NA,NA,NA,NA,NA,25,NA,"",""
"57","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",2,NA,NA,100,100,100,0,NA,"",""
"58","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",2.9,NA,75,100,100,75,0,NA,"",""
"59","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",1.7,NA,100,100,100,100,0,NA,"",""
"60","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",2.4,NA,100,100,100,75,0,NA,"",""
"61","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",2.5,NA,NA,75,75,50,0,NA,"",""
"62","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",2,NA,100,100,100,100,0,NA,"",""
"63","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",2,NA,100,100,100,100,0,NA,"",""
"64","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",NA,3.4,NA,NA,NA,NA,50,2,"",""
"65","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",3.3,NA,50,100,75,75,0,NA,"",""
"66","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",1.6,NA,NA,100,100,100,0,NA,"",""
"67","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","yes",NA,3.3,NA,NA,NA,NA,50,NA,"",""
"68","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",NA,3.2,NA,NA,NA,NA,75,NA,"",""
"69","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",4,NA,NA,100,100,25,0,NA,"","Topped"
"70","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",2.2,NA,100,100,100,75,0,NA,"",""
"71","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",NA,2.9,100,100,100,100,0,NA,"",""
"72","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",3.2,NA,NA,100,100,100,0,NA,"","Topped"
"73","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,1.4,NA,100,100,100,0,NA,"",""
"74","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",2.2,NA,75,100,100,75,0,NA,"",""
"75","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",3.2,NA,75,100,100,50,0,NA,"",""
"76","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",1.9,NA,100,100,100,100,0,2,"",""
"77","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",NA,0.9,NA,100,100,100,0,2,"",""
"78","2024-08-04","Munson Creek","MuCr5","B","birch","no","no",NA,3.4,NA,100,100,100,25,NA,"",""
"79","2024-08-04","Munson Creek","MuCr5","B","birch","yes","no",0.7,NA,NA,0,0,0,0,NA,"",""
"80","2024-08-04","Munson Creek","MuCr5","B","birch","no","no",NA,1,NA,0,0,0,0,NA,"",""
"81","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,1.3,NA,100,100,100,25,NA,"",""
