"","date","fire_scar","site","plot","location","green_moss","depth1","org_hit","org_hit_other","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","min_depth","m1_depth1","m1_depth2","m2_depth1","m2_depth_2","min_coregrab","mineral_notes","sample_photo","general_notes"
"167","2024-08-02","Teklanika","Tekl6","A","6 m",0,16,"Mineral","",50,"Rock",0.17,"Mineral",3,4,2,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"168","2024-07-16","Shovel creek","ShCr2","A","3 m",NA,9.5,"Mineral","",27,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"169","2024-07-16","Shovel creek","ShCr2","A","6 m",NA,9.5,"Mineral","",25,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"170","2024-07-16","Shovel creek","ShCr2","A","9 m",NA,9.5,"Mineral","",20,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"171","2024-08-03","Teklanika","Tekl3","A","3 m",0,22,"Mineral,Water,Rock","",101,">100cm",27,"Mineral,Water",5,6,7,"yes","Tekl3A",22.5,24,11,11,9,8,"Hit water at 13",NA,9,NA,0,NA,"Core","Coring into water and rock. Sample volumetric, but dicey","",""
"172","2024-08-03","Teklanika","Tekl3","A","6 m",0,19,"Water,Mineral,Rock","",91,"Rock",23,"Water,Rock,Mineral",7,5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"173","2024-07-16","Shovel Creek","ShCr1","B","9 m",NA,21,"Mineral","",56,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"174","2024-07-16","Shovel Creek","ShCr1","B","6 m",NA,41,"Mineral","",68,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","This is sphagnum "
"175","2024-07-16","Shovel Creek","ShCr1","B","3 m",NA,19.5,"Mineral","",58,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"176","2024-07-28","McCoy Creek","McCr1","C","3 m",NA,24,"Mineral,Water","",56,"Frozen Ground",34,"Mineral",20,20,7,"yes","McCr1C",23,24,9,9,13,12,"",NA,5,NA,5,NA,"","Char in mineral sample! Legacy c!","",""
"177","2024-07-28","McCoy Creek","McCr1","C","6 m",NA,28,"Mineral","",50,"Frozen Ground",42,"Frozen Ground,Mineral",3,5.5,4,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"178","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,15,"Mineral","",23,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"179","2024-07-17","Shovel Creek","ShCr6","B","6 m",NA,14,"Mineral","",75,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"180","2024-07-17","Shovel Creek","ShCr6","B","9 m",NA,18,"Mineral","",24,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"181","2024-07-17","Shovel Creek","ShCr5","C","3 m",NA,5.5,"Rock","",5.5,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"182","2024-07-17","Shovel Creek","ShCr5","C","6 m",NA,8,"Rock,Mineral","",8,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"183","2024-07-17","Shovel Creek","ShCr5","C","9 m",NA,3.5,"Mineral","",9.5,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"184","2024-08-04","Munson Creek","MuCr5","A","3 m",0.1,30,"Mineral","",75,"Rock",22,"Mineral",6,7,NA,"yes","MuCr5A",31,34,8,10,9.5,10,"",NA,6,NA,3.5,NA,"Core","M1 very crumbly, both mixed with gravel","",""
"185","2024-08-04","Munson Creek","MuCr5","A","6 m",0.5,6,"Mineral","",48,"Rock",19,"Mineral,Rock",9,8,7,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"186","2024-08-03","Teklanika","Tekl2","B","3 m",0,9.5,"Mineral","",73,"Rock",7,"Mineral",13,10,12,"yes","Tekl2B",9,8.5,10,10,8.5,9.5,"",NA,5,NA,5,NA,"Core","","","Sampled at 13.2 because of cwd"
"187","2024-08-03","Teklanika","Tekl2","B","6 m",0.5,5,"Mineral","",75,"Rock",5,"Mineral",13,8,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"188","2024-08-04","Munson Creek","MuCr4","C","3 m",0,36,"Rock","",92,"Rock",33,"Mineral,Rock",17,13,28,"yes","MuCr4C",36.5,36.5,9,10.5,9.5,11,"",NA,6.5,NA,6.5,NA,"Core","Top of mineral had organic soil plus large sand/gravel. Volumetric core taken to 13cm, but sample totally non consolidated, so fell apart immediately. Split in half for m1 and :2 ","187f5313-0e62-4baf-a6f8-dcb6f3f5845a",""
"189","2024-08-04","Munson Creek","MuCr4","C","6 m",0,19,"Mineral,Rock","",89,"Rock",9,"Mineral,Rock",16,9,17,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"190","2024-07-25","Haystack","Hays5","B","6 m",NA,17,"Mineral","",47,"Rock",14.5,"Mineral",12,7.5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"191","2024-07-25","Haystack","Hays5","B","9 m",NA,11.5,"Mineral","",88,"Rock",7,"Mineral",9,5,3.5,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"192","2024-07-25","Haystack","Hays5","B","3 m",NA,11.5,"Mineral","",20,"Rock",5,"Rock",9,3,NA,"yes","Hays5B",11,10.5,12,12.5,11,10,"Large root below organic sample difficult to remove. Taking remainder of organic as separate sample using corer, in separate bag for processing. Depth 3 cm.",NA,5,0,NA,NA,"","Rock below M1 sample, no M2 sample","",""
