sample_id,field_id,fire,site,plot,soil_depth_top_cm,soil_depth_bottom_cm,initial_mass_g,pre_homo_subsample_mass_g,cn_d1,cn_d2,cn_w1,cn_w2,cn_l1,cn_l2,homogenized_soil_mass_g,subsample_fine_wet_mass_g,coarse_wet_mass_g,rock_weight_g,rock_volume_ml,subsample_fine_dry_mass_g,coarse_dry_mass_g,N_weight_per,C_weight_per
LC_4242,Doug15A,Douglas,15,A,5,10,1514.64,186.13,5,5,7,6,13,12.5,108.01,50.29,61.42,NA,NA,8.08,13.28,1.24,44.08
LC_4243,Doug15A,Douglas,15,A,10,15,1514.64,277.36,5,5,6.5,6,11,11.5,230.89,50.21,29.94,NA,NA,6.8,5.53,1.39,39.03
LC_4244,Doug15A,Douglas,15,A,15,20,1514.64,160.72,4,4.5,5,6,10.5,10.5,153.95,50.11,1.73,NA,NA,6.81,0.51,1.343257839,36.27
LC_4245,Chit33C,Chitanana,33,C,0,5,2191.06,110.22,5,5,7,7,10.5,10.5,83.06,49.97,13.77,NA,NA,12.52,5.31,1.52,44.17
LC_4246,Chit33C,Chitanana,33,C,5,10,2191.06,152.57,5,5,7,6,10,10,133.07,49.97,9.73,NA,NA,10.99,3.48,1.36,35.88
LC_4247,Chit33C,Chitanana,33,C,10,15,2191.06,196.64,5,5,6.5,6,11,10.5,176.42,50.02,13.05,NA,NA,13.01,3.84,1.29,29.56
LC_4248,Chit33C,Chitanana,33,C,15,20,2191.06,279.98,5,5,6,6,10,9.5,262.21,50.17,7.65,1.75,5,19.45,2.67,1.09,20.7
LC_4249,Chit33C,Chitanana,33,C,20,25,2191.06,272.31,5,5,5,6.5,9,9,246.7,50.4,9.2,NA,NA,28.3,6.19,0.8,17.97
LC_4250,Chit33C,Chitanana,33,C,25,30,2191.06,91.93,3,2.5,5,4,8,8,88.09,50.09,1.14,NA,NA,25.89,0.6,0.75,20.46
LC_4251,ChitMoo34B,ChitananaMooseheart,34,B,0,5,1750.5,72.97,5,5,7,5,10,10,61.89,50,4.06,NA,NA,4.1,1.06,0.76,43.68
LC_4252,ChitMoo34B,ChitananaMooseheart,34,B,5,10,1750.5,81.06,5,5,6.5,6,8.5,9,65.75,49.94,6.03,NA,NA,7.02,2.23,1.24,42.6
LC_4253,ChitMoo34B,ChitananaMooseheart,34,B,10,15,1750.5,77.53,5,5,5.5,6.5,8,8,56.63,49.83,10,NA,NA,11.02,4.12,1.53144076,37.99
LC_4254,ChitMoo34B,ChitananaMooseheart,34,B,15,20,1750.5,204.27,5,5,7,6,9,10,140.8,50.15,50.76,NA,NA,10.76,12.94,1.79,32.88
LC_4255,ChitMoo34B,ChitananaMooseheart,34,B,20,25,1750.5,247.83,5,5,6,6,11,11,213.62,50.51,19.44,NA,NA,13.12,5.2,1.71,27.48
LC_4256,ChitMoo34B,ChitananaMooseheart,34,B,25,30,1750.5,251.13,5,5,5.5,5.5,11,11,231.47,50.42,9.21,NA,NA,15.17,2.73,1.65,28.5
LC_4257,ChitMoo34B,ChitananaMooseheart,34,B,30,35,1750.5,42.71,2.5,2,4.5,3.5,8,8,39.3,39.3,0.18,NA,NA,11.27,0,1.840807081,32.33
LC_4258,BitCosLil46A,BitzshitiniCosnaLittle,46,A,0,5,2082.2,90.25,5,5,5.5,5,7.5,10,83.12,50.18,4.43,NA,NA,9.94,1.46,1.51,45.28
LC_4259,BitCosLil46A,BitzshitiniCosnaLittle,46,A,5,10,2082.2,185.9,5,5,5.5,5,10.5,10,160.45,50.22,13.34,NA,NA,9.68,3.08,1.6,41.43
LC_4260,BitCosLil46A,BitzshitiniCosnaLittle,46,A,10,15,2082.2,293.05,5,5,5.5,6,12,12,250.18,50.09,22.34,NA,NA,9.73,4.9,NA,NA
LC_4261,BitCosLil46A,BitzshitiniCosnaLittle,46,A,15,20,2082.2,313.57,5,5,5.5,5.5,12,12,257.43,50.23,42.55,NA,NA,12.09,8.34,1.42,37.8
LC_4262,BitCosLil46A,BitzshitiniCosnaLittle,46,A,20,25,2082.2,127.71,3.5,3.5,5.5,5,11.5,10.5,113.87,50.11,9.02,NA,NA,13.48,1.98,1.21,30.55
LC_4263,KilTalHol55C,KilolitnaTalHolanada,55,C,0,5,1080.42,99.63,5,5,7,6,9.5,9,73.93,49.93,15.36,NA,NA,15.44,5.96,1.83,49.6
LC_4264,KilTalHol55C,KilolitnaTalHolanada,55,C,5,10,1080.42,123.75,5,5,6.5,6,9,9.5,96.08,50.07,15.05,NA,NA,13.21,5.89,1.84,48.09
LC_4265,KilTalHol55C,KilolitnaTalHolanada,55,C,10,15,1080.42,115.06,5,5,6,5,7.5,8,100.21,50.02,9.42,NA,NA,11.36,2.54,1.903051618,46.04
LC_4266,KilTalHol55C,KilolitnaTalHolanada,55,C,15,20,1080.42,174.84,5,5,5,5.5,7.5,8,142.53,50.05,3.95,14.04,6.5,16.78,1.65,1.37865251,29.92
LC_4267,KilTalHol55C,KilolitnaTalHolanada,55,C,20,25,1080.42,52.37,2.5,2,5,4.5,5.5,5,35.49,35.49,3.56,6.89,3.3,19.14,1.58,0.687977503,12.98
LC_4268,BitCosLil46C,BitzshitiniCosnaLittle,46,C,0,5,1274.3,95.05,5,5,7,6,11.5,10.5,74.65,50.2,12.37,NA,NA,8.22,3.53,1.150367971,45.58
LC_4269,BitCosLil46C,BitzshitiniCosnaLittle,46,C,5,10,1274.3,100.52,5,5,7,6.5,10.5,10.5,72.16,49.85,10.92,NA,NA,6.41,2.72,0.94490582,45.2
LC_4270,BitCosLil46C,BitzshitiniCosnaLittle,46,C,10,15,1274.3,99.41,5,5,6.5,6,10.5,11,78.47,50.03,9.08,NA,NA,8.22,2.81,1.009943438,42.45
LC_4271,BitCosLil46C,BitzshitiniCosnaLittle,46,C,15,20,1274.3,192.63,5,5,6.5,6,10,10,152.29,50.02,29.95,NA,NA,8.37,6.04,1.170406921,37.8
LC_4272,BitCosLil46C,BitzshitiniCosnaLittle,46,C,20,25,1274.3,156.5,4.5,3.5,6,5.5,10,10,146.73,50.19,1.1,NA,NA,6.95,0.18,1.16,42.67
LC_4273,Chit29A,Chitanana,29,A,0,5,1970.4,117.87,5,5,6.5,6,11.5,11,58.26,50.1,47.12,NA,NA,10.63,14.26,1.425771612,42.85
LC_4274,Chit29A,Chitanana,29,A,5,10,1970.4,269.38,5,5,7.5,6,11,11.5,203.12,49.96,36.41,NA,NA,7.81,7.49,1.635832172,41.96
LC_4275,Chit29A,Chitanana,29,A,10,15,1970.4,336.8,5,5,7,5.5,11.5,11,304.87,49.98,13.5,NA,NA,9.56,3.25,1.865344073,37.81
LC_4276,Chit29A,Chitanana,29,A,15,20,1970.4,314.2,5,5,6,6,10.5,10.5,279.55,50.23,16.95,NA,NA,20.34,5.61,0.87089362,15.4
LC_4277,Chit29A,Chitanana,29,A,20,25,1970.4,126.5,2.5,2.5,5.5,5,9,9,120.25,50.03,0.69,NA,NA,30.36,0.23,0.322291165,4.26
LC_4278,DoBon13C,DouglasBonanza,13,C,0,5,2372.93,114.6,5,5,6.5,6,10,9.5,80.67,49.98,17.04,NA,NA,15.48,4.02,1.074919618,41.53
LC_4279,DoBon13C,DouglasBonanza,13,C,5,10,2372.93,207.36,5,5,6.5,5.5,10,10,156.04,50.15,32.24,NA,NA,6.77,6.62,1.38,46.3
LC_4280,DoBon13C,DouglasBonanza,13,C,10,15,2372.93,280.11,5,5,6.5,5.5,9.5,10,235.25,50.07,31.48,NA,NA,7.2,5.82,1.424238415,45.89
LC_4281,DoBon13C,DouglasBonanza,13,C,15,20,2372.93,263.32,5,5,6,6,10.5,9.5,230.47,50.08,18.84,NA,NA,9.77,3.94,1.567674667,46.31
LC_4282,DoBon13C,DouglasBonanza,13,C,20,25,2372.93,258.03,5,5,5,6,11,11,241.23,50.39,8.85,NA,NA,11.15,2,1.72,49.12
LC_4283,DoBon13C,DouglasBonanza,13,C,25,30,2372.93,67.57,3,3,5,5,8,8,63.91,50.02,0.69,NA,NA,10.77,0.14,1.701732453,47.53
LC_4284,MmBon8C,MmBonanza,8,C,0,5,1316.9,98.43,5,5,6,5.5,10.5,10.5,62.9,49.97,21.58,NA,NA,11.55,7.27,1.28,44.88
LC_4285,MmBon8C,MmBonanza,8,C,5,10,1316.9,120.03,5,5,5.5,6,10,10,66.39,50.26,39.76,NA,NA,9.05,9.61,1.633643361,46.72
LC_4286,MmBon8C,MmBonanza,8,C,10,15,1316.9,232.45,5,5,5.5,5,10,10,193.52,50.22,23.6,NA,NA,9.22,4.82,1.710817917,39.68
LC_4287,MmBon8C,MmBonanza,8,C,15,20,1316.9,189.77,5,5,5.5,5.5,9.5,9,170.35,49.98,5.58,NA,NA,10.84,1.4,1.86,42.64
LC_4288,MmBon8C,MmBonanza,8,C,20,25,1316.9,123.85,4.5,3.5,6,5.5,9.5,9,103.04,50.09,12.93,NA,NA,11.03,2.95,2.127351152,42.78
LC_4289,BitWien40B,BitzshitiniWien,40,B,0,5,948.53,72.68,5,5,5,4,9,9,57.1,50.06,8.89,NA,NA,11.75,2.95,1.688831256,41.06
LC_4290,BitWien40B,BitzshitiniWien,40,B,5,10,948.53,124.62,5,5,5,4,8,7.5,92.8,50.25,21.81,NA,NA,9.97,5.12,1.835141713,41.01
LC_4291,BitWien40B,BitzshitiniWien,40,B,10,15,948.53,204.77,5,5,5,4.5,8.5,8.5,167.08,50.33,25.82,NA,NA,15.42,7.72,1.567256238,26.08
LC_4292,BitWien40B,BitzshitiniWien,40,B,15,20,948.53,194.98,5,5,5,4.5,7.5,7,187.66,49.96,1.23,NA,NA,26.69,0.51,0.704427965,13.07
LC_4293,Chit33A,Chitanana,33,A,0,5,1203.93,83.52,5,5,6,5,10,9,57.84,50.04,13.48,NA,NA,12.41,4.26,1.587717196,45.06
LC_4294,Chit33A,Chitanana,33,A,5,10,1203.93,168.53,5,5,7,5,11.5,11,105.78,50.01,48.03,NA,NA,11.15,13.95,1.579184058,42.26
LC_4295,Chit33A,Chitanana,33,A,10,15,1203.93,159.12,5,5,7,6.5,11,11,79.04,49.93,68.48,NA,NA,10.66,15.42,1.406233701,39.13
LC_4296,Chit33A,Chitanana,33,A,15,20,1203.93,191.32,5,5,6,5.5,9,9.5,160.64,50.2,23.93,NA,NA,9.75,5.3,1.28,31.87
LC_4297,Chit33A,Chitanana,33,A,20,25,1203.93,94.79,3.5,2.5,6,5,7.5,7,89.29,49.95,1.27,NA,NA,12.14,0.36,1.242463703,30.57
LC_4298,KilTal51B,KilolitnaTal,51,B,0,5,1395.23,94.35,5,5,6.5,6.5,11,10.5,60.09,50,21.92,NA,NA,11.4,7.69,1.686020294,48.86
LC_4299,KilTal51B,KilolitnaTal,51,B,5,10,1395.23,149.33,5,5,7,5.5,11,11,128.19,50.2,8.67,NA,NA,6.28,2.62,1.599209124,45.36
LC_4300,KilTal51B,KilolitnaTal,51,B,10,15,1395.23,249.96,5,5,7,6,10,10,204.77,50.02,25.97,NA,NA,5.3,4.27,1.433168471,36.82
LC_4301,KilTal51B,KilolitnaTal,51,B,15,20,1395.23,316.05,5,4.5,6.5,5,10,9.5,166.55,50.32,24.2,104.39,40,29.6,11.51,0.353626396,6.2
LC_4302,Chit30B,Chitanana,30,B,0,5,2226.87,76.41,5,5,5,5.5,9,8.5,58.68,49.97,7.3,NA,NA,13.01,2.74,1.40334761,42.58
LC_4303,Chit30B,Chitanana,30,B,5,10,2226.87,210.01,5,5,5,5,10,9.5,157.87,50.31,35.97,NA,NA,12.66,9.38,1.613578224,30.83
LC_4304,Chit30B,Chitanana,30,B,10,15,2226.87,284.15,5,5,5.5,4.5,10,10,267.91,50.07,3.66,NA,NA,22.23,1.74,1.02653111,20.96
LC_4305,Chit30B,Chitanana,30,B,15,20,2226.87,331.36,5,5,5,5.5,8.5,8.5,324.32,49.96,1.49,NA,NA,33.46,0.97,0.369069885,8.09
LC_4306,Chit30B,Chitanana,30,B,20,25,2226.87,177.91,4,4,4.5,4.5,7,7,174.55,49.98,1.5,NA,NA,35.16,0.76,NA,NA
LC_4307,BitCosLil49B,BitzshitiniCosnaLittle,49,B,0,5,2768.07,159.24,5,5,5.5,5,10.5,10.5,124.49,49.96,13.04,NA,NA,9.04,3.46,2.184722844,41.7
LC_4308,BitCosLil49B,BitzshitiniCosnaLittle,49,B,5,10,2768.07,233.51,5,5,6,5,10,10,145.91,50.28,66.01,NA,NA,8.12,11.73,2.41309845,35.86
LC_4309,BitCosLil49B,BitzshitiniCosnaLittle,49,B,10,15,2768.07,355.36,5,5,6,6,9.5,10,283.65,50.25,42.08,NA,NA,18.17,14.34,1.216902279,15.91
LC_4310,BitCosLil49B,BitzshitiniCosnaLittle,49,B,15,20,2768.07,311.25,5,5,6,6,9.5,9.5,296.37,50.01,2.65,NA,NA,20.25,1.22,1.262786582,15.06
LC_4311,BitCosLil49B,BitzshitiniCosnaLittle,49,B,20,25,2768.07,281.05,5,5,5,4,9,9,267.02,50.45,4.37,NA,NA,28.12,2.21,0.572421869,9.59
LC_4312,BitCosLil49B,BitzshitiniCosnaLittle,49,B,25,30,2768.07,69.35,2,2,4,3.5,8,8,66.68,49.9,0.08,NA,NA,33.24,0,0.31968571,4.86
LC_4313,MmBon7A,MmBonanza,7,A,0,5,1083.22,48.19,5,5,6,5.5,10,9,34.89,34.54,8.07,NA,NA,7.51,3.19,1.4,42.56
LC_4314,MmBon7A,MmBonanza,7,A,5,10,1083.22,152.34,5,5,6.5,6,11,11,99.03,49.96,36.01,NA,NA,5,10.94,1.74,46.76
LC_4315,MmBon7A,MmBonanza,7,A,10,15,1083.22,195.29,5,5,6,5,11,11,174.04,49.99,6.37,NA,NA,7.44,1.76,NA,NA
LC_4316,MmBon7A,MmBonanza,7,A,15,20,1083.22,91.01,4.5,4,5.5,5,6,6,85.75,49.96,0.54,NA,NA,7.34,0.13,1.83,41.48
LC_4317,DryMoo20A,DryMooseheart,20,A,0,5,2915.11,235.61,5,5,5.5,5,11,11,110.62,50.04,16.8,NA,NA,6,3.24,1.43,43.77
LC_4318,DryMoo20A,DryMooseheart,20,A,5,10,2915.11,150.52,5,5,5,5,10,10.5,100.62,50.34,36.7,NA,NA,10.78,9.07,1.31,28.25
LC_4319,DryMoo20A,DryMooseheart,20,A,10,15,2915.11,209.23,5,5,5,5,9,9,182.91,50,12.03,NA,NA,10.08,2.84,1.94,34.79
LC_4320,DryMoo20A,DryMooseheart,20,A,15,20,2915.11,232.82,5,5,5,5,8.5,8.5,195.01,50.03,21.08,NA,NA,11.79,5.39,1.98,33.57
LC_4321,DryMoo20A,DryMooseheart,20,A,20,25,2915.11,249.66,5,5,5.5,5,9,9,234.62,50.03,4.62,NA,NA,13.19,1.31,2.16,34.05
LC_4322,DryMoo20A,DryMooseheart,20,A,25,30,2915.11,247.78,5,5,5.5,5.5,9.5,9.5,216.92,50.42,12.82,NA,NA,15.48,4.02,1.88,30.41
LC_4323,DryMoo20A,DryMooseheart,20,A,30,35,2915.11,106.76,4,4,5,4,8,8,97.66,50.23,3.46,NA,NA,22.16,1.59,1.11,18.87
LC_4324,KilTal53A,KilolitnaTal,53,A,0,5,922.23,94.53,5,5,5.5,5,10.5,10.5,58.64,49.96,20.74,NA,NA,17,9.01,1.84,43.93
LC_4325,KilTal53A,KilolitnaTal,53,A,5,10,922.23,105.32,5,5,4.5,4,9.5,9,89.4,50.03,7.17,NA,NA,19.31,2.98,1.38,26.6
LC_4326,KilTal53A,KilolitnaTal,53,A,10,15,922.23,184.89,5,5,5,3,9,9,170.34,50.08,4.91,0.77,1,34.33,2.95,0.33,4.65
LC_4327,KilTal53A,KilolitnaTal,53,A,15,20,922.23,59.64,2.5,2.5,3.5,4,8,8,56.47,50,1.01,NA,NA,32.06,0.59,0.33,5.04
LC_4328,BitWein39B,BitzshitiniWien,39,B,0,5,961.79,114.82,5,5,4.5,3.5,9,9,90.34,49.96,13.53,NA,NA,9.88,3.6,1.76,41.61
LC_4329,BitWein39B,BitzshitiniWien,39,B,5,10,961.79,178.8,5,5,5,4.5,9,9,129.91,50.11,39.28,NA,NA,10.99,8.44,1.86,37.59
LC_4330,BitWein39B,BitzshitiniWien,39,B,10,15,961.79,170.89,4,3.5,5,4.5,8.5,8,160.04,50.04,2.39,NA,NA,30.05,1.48,0.45,8.07
LC_4331,DryMoo23A,DryMooseheart,23,A,0,5,960.87,22.98,5,5,6,6,10.5,10,12.79,12.79,3.26,NA,NA,7.2,1.89,1.2,48.53
LC_4332,DryMoo23A,DryMooseheart,23,A,5,10,960.87,41.88,5,5,6,5.5,10.5,10.5,26.06,25.72,8.81,NA,NA,8.5,3.14,1.51,47.05
LC_4333,DryMoo23A,DryMooseheart,23,A,10,15,960.87,170.7,5,5,6,6,10,9.5,149.28,50.06,10.65,NA,NA,13.21,3.44,1.39,32.48
LC_4334,DryMoo23A,DryMooseheart,23,A,15,20,960.87,156.64,5,5,5.5,5,9.5,9,141.92,49.96,5.37,NA,NA,14.57,1.48,1.07,28.46
LC_4335,DryMoo23A,DryMooseheart,23,A,20,25,960.87,90.53,4,4,4.5,4.5,7.5,7.5,86.52,49.95,0.89,NA,NA,19.38,0.34,1.01,19.01
LC_4336,Doug17C,Douglas,17,C,0,5,858.9,66.66,5,5,5.5,4.5,10.5,10.5,48.09,47.88,8.92,NA,NA,12.24,3.49,1.28,47.05
LC_4337,Doug17C,Douglas,17,C,5,10,858.9,110.45,5,5,6,6,9.5,9.5,74.84,50.47,16.63,NA,NA,8.24,4.56,1.3,46.15
LC_4338,Doug17C,Douglas,17,C,10,15,858.9,195.64,5,5,6,5.5,9,9,171.68,49.97,NA,NA,NA,5.72,1.32,1.73,45.91
LC_4339,Doug17C,Douglas,17,C,15,20,858.9,99.93,3.5,3,6,5,8,8,76.48,50.11,17.25,NA,NA,5.93,2.6,2.24,46.07
LC_4340,Isom72B,Isom,72,B,0,5,1282.39,79.83,5,5,5.5,5,10.5,10,50.17,49.88,20.7,NA,NA,15.17,7.31,1.28,44.79
LC_4341,Isom72B,Isom,72,B,5,10,1282.39,144.07,5,5,5.5,4.5,9.5,9.5,94.75,50,40.68,NA,NA,12.87,12.75,1.4,34.08
LC_4342,Isom72B,Isom,72,B,10,15,1282.39,216.95,5,5,5.5,5,9.5,8.5,190.54,50.19,19.37,NA,NA,22.03,7.5,0.55,11.35
LC_4343,Isom72B,Isom,72,B,15,20,1282.39,112.96,3.5,3,5,5,9.5,9,102.73,50.02,4.73,NA,NA,24.97,1.93,0.52,11.1
LC_4344,ChitMoo35C,ChitananaMooseheart,35,C,0,5,2785.18,87.92,5,5,6,6,11,11,51.31,50.01,22.43,NA,NA,14.28,7.15,1.62,40.85
LC_4345,ChitMoo35C,ChitananaMooseheart,35,C,5,10,2785.18,142.75,5,5,6,5,11.5,11.5,98.41,50.41,30.39,NA,NA,12.23,8.06,1.54,31.83
LC_4346,ChitMoo35C,ChitananaMooseheart,35,C,10,15,2785.18,282.88,5,5,7,5.5,10,10.5,225.74,50.04,33.35,NA,NA,14.36,10.37,1.55,25.67
LC_4347,ChitMoo35C,ChitananaMooseheart,35,C,15,20,2785.18,351.77,5,5,7,5,10.5,10,316.14,50.45,13.53,NA,NA,19.33,5.43,1.27,22.45
LC_4348,ChitMoo35C,ChitananaMooseheart,35,C,20,25,2785.18,344.87,5,5,6.5,6,10,10,327.63,50.05,1.8,NA,NA,19.3,1.08,1.29,22.15
LC_4349,ChitMoo35C,ChitananaMooseheart,35,C,25,30,2785.18,203.02,5,3.5,7,5,9.5,9.5,189.68,49.99,5.98,NA,NA,22.29,2.56,1.69,44.9
LC_4350,MudNowDir67C,MudNowitnaDirt,67,C,0,5,342.95,11.17,5,5,6,5,11,11,2.85,2.85,5.01,NA,NA,2.56,4.2,1.21,19.91
LC_4351,MudNowDir67C,MudNowitnaDirt,67,C,5,10,342.95,96.21,5,5,6,6,9.5,9,72.86,50.02,16.63,NA,NA,31.26,9.17,0.57,13.32
LC_4352,MudNowDir67C,MudNowitnaDirt,67,C,10,15,342.95,46.95,3,3,5.5,5,8.5,8,40.35,40.35,3.49,NA,NA,25.51,1.99,0.34,8.18
LC_4353,BitCosLil44A,BitzshitiniCosnaLittle,44,A,0,5,612.1,26.55,5,5,5,4,9,9,15.68,15.68,6.01,NA,NA,3.57,1.75,1.17,46.52
LC_4354,BitCosLil44A,BitzshitiniCosnaLittle,44,A,5,10,612.1,45.66,5,5,5.5,5,9.5,9.5,32.74,32.57,6.18,NA,NA,6.73,2.27,1.53,45.15
LC_4355,BitCosLil44A,BitzshitiniCosnaLittle,44,A,10,15,612.1,106.13,5,5,6,6,8.5,8,91.78,50,7.07,NA,NA,14.16,2.43,1.64,38.29
LC_4356,BitCosLil44A,BitzshitiniCosnaLittle,44,A,15,20,612.1,110.14,3.5,3,5.5,4.5,9,9,103.02,50.14,3.28,NA,NA,20.08,1.1,0.92,22.93
LC_4357,Chit31C,Chitanana,31,C,0,5,490.38,239.64,4.5,3,6,5,12,11,200.99,49.91,13.33,NA,NA,28.8,6.66,0.45,7.93
LC_4358,BitWein42B,BitzshitiniWien,42,B,0,5,1236.24,82.99,5,5,5.5,5,9,8.5,56.42,49.94,13.2,NA,NA,13.91,5.55,1.36,44.38
LC_4359,BitWein42B,BitzshitiniWien,42,B,5,10,1236.24,208.07,5,5,5.5,5,10.5,10,163.89,50.27,31.3,NA,NA,19.16,11.25,0.8,19.92
LC_4360,BitWein42B,BitzshitiniWien,42,B,10,15,1236.24,259.32,5,5,5,4,11,11,236.71,50.08,11.51,NA,NA,25.56,5.11,0.49,10.8
LC_4361,BitWein42B,BitzshitiniWien,42,B,15,20,1236.24,72.17,2,2,4,3,7,6.5,69.09,50.01,0.59,NA,NA,34.45,0.31,0.27,4.71
LC_4362,ChitMoo38B,ChitananaMooseheart,38,B,0,5,356.37,67.73,5,5,7,6,10.5,10,50.46,50.46,9.87,NA,NA,33.71,6.06,0.66,17.99
LC_4363,ChitMoo38B,ChitananaMooseheart,38,B,5,10,356.37,64.49,3,2.5,5.5,5,11,10.5,59.63,50,2.21,NA,NA,31.66,1.31,0.43,9.53
LC_4364,BitWein39A,BitzshitiniWien,39,A,0,5,1950.21,197.8,5,5,6,5,11.5,11,145.19,50.13,42.15,NA,NA,11.37,10.23,1.69,33.64
LC_4365,BitWein39A,BitzshitiniWien,39,A,5,10,1950.21,357.53,5,5,6,5,11.5,11.5,270.18,50.15,56.88,NA,NA,12.09,14.49,1.84,36.64
LC_4366,BitWein39A,BitzshitiniWien,39,A,10,15,1950.21,399.35,5,5,6,6,12,12,370.66,50.08,7.16,NA,NA,18.28,2.81,1.3,23.76
LC_4367,Isom2B,Isom,2,B,0,5,480.62,30.45,5,5,6,6,13,12.5,15.19,15.19,11.71,NA,NA,13.47,10.14,1.17,49.69
LC_4368,Isom2B,Isom,2,B,5,10,480.62,104.78,5,5,6.5,5.5,12,12,69.57,50.12,23.49,NA,NA,20.06,9.68,1.3,36.56
LC_4369,Isom2B,Isom,2,B,10,15,480.62,95.87,4,4,6,5.5,10.5,9.5,77.21,49.98,12.28,NA,NA,21.42,5.56,2.14,47.66
LC_4370,DoBon11A,DouglasBonanza,11,A,0,5,68.72,31.97,1.5,2,6.5,6,11.5,11,28.7,28.7,1.29,NA,NA,12.66,0.48,1.94,40.57
LC_4371,DragMooTrip28C,DragonMooseheart,28,C,0,5,248.28,143.95,4,4,6.5,6,10.5,10.5,134.11,50.02,5.66,NA,NA,33.41,3.71,0.54,17.21
LC_4372,BitWien41C,BitzshitiniWien,41,C,0,5,789.89,46.93,5,5,6,5,9.5,9.5,23.55,23.55,17.42,NA,NA,9.44,7.81,1.27,43.03
LC_4373,BitWien41C,BitzshitiniWien,41,C,5,10,789.89,235.16,5,5,6,6,9,9,188.42,50.25,35.96,NA,NA,29.62,15.94,0.22,4.73
LC_4374,BitWien41C,BitzshitiniWien,41,C,10,15,789.89,151.04,3.5,4,5.5,5.5,7,6.5,140.58,49.83,3.57,NA,NA,33.18,2.35,0.18,2.68
LC_4375,MmBon4A,MmBonanza,4,A,0,5,552.78,132.99,5,5,6.5,6,12.5,12.5,92.49,50.22,29.67,NA,NA,18.07,12.14,1.26,38.62
LC_4376,MmBon4A,MmBonanza,4,A,5,10,552.78,216.1,3.5,3.5,6,6,12,11.5,195.8,50,3.47,11.55,5,25.81,1.98,0.7,15.01
LC_4377,KilTalHol57A,KilolitnaTalHolanada,57,A,0,5,411.56,66.87,5,5,5.5,5,11.5,9,43.4,43.22,12.78,NA,NA,17.33,5.61,2.49,47.58
LC_4378,KilTalHol57A,KilolitnaTalHolanada,57,A,5,10,411.56,115.33,5,5,4.5,4.5,10,10.5,75.39,50.15,22.71,9.4,4,22.27,9.56,1.17,26.62
LC_4379,KilTalHol57A,KilolitnaTalHolanada,57,A,10,15,411.56,47.3,2.5,3,3.5,3,8,8,31.49,31.49,4.94,8.73,4,18.85,2.75,0.46,10.39
LC_4380,Isom3A,Isom,3,A,0,5,46,23.15,4.5,4.5,4.5,5,8,8,14.27,14.27,6.15,NA,NA,12.68,5.22,1.14,32.55
LC_4381,BitCosLil48C,BitzshitiniCosnaLittle,48,C,0,5,703.25,116.62,5,5,6,5.5,10,9.5,92.95,50.35,16.44,NA,NA,31.71,9.98,0.35,6.21
LC_4382,BitCosLil48C,BitzshitiniCosnaLittle,48,C,5,10,703.25,228.07,5,5,5,5,11,11,207.79,50.13,11.42,NA,NA,33.59,6.92,0.46,8.4
LC_4383,MudNowDir69C,MudNowitnaDirt,69,C,0,5,291.54,99.86,5,5,5.5,5,9.5,10.5,85,49.99,8.38,NA,NA,33.9,5.39,0.52,7.13
LC_4384,MudNowDir69C,MudNowitnaDirt,69,C,5,10,291.54,39.2,2,2,5,5,9,8,35.85,35.85,1.41,NA,NA,22.55,0.73,0.59,8.47
LC_4385,DoBon10B,DouglasBonanza,10,B,0,5,239.85,132.51,4.5,3,6,5,12.5,12,120.56,49.96,1.86,5.7,3.8,39.93,1.18,1.68,26.4
LC_4386,Doug14A,Douglas,14,A,0,5,700.22,107.78,5,5,6.5,5,12,10.5,66.58,50.27,30.85,NA,NA,14.25,10.92,1.15,29.72
LC_4387,Doug14A,Douglas,14,A,5,10,700.22,191.05,5,5,6.5,5,10.5,11,149.38,50.18,29.77,0.55,0.5,9.99,6.3,1.55,40.05
LC_4388,Doug14A,Douglas,14,A,10,15,700.22,45.51,2.5,2.5,5,5,8,8,40.18,40.18,1.74,NA,NA,13.17,0.68,1.45,29.82
LC_4389,ChitMoo37B,ChitananaMooseheart,37,B,0,5,555.95,114.81,5,5,5,5,10,9.5,96.95,50.53,4.68,NA,NA,25.23,3.88,0.74,15.67
LC_4390,ChitMoo37B,ChitananaMooseheart,37,B,5,10,555.95,131.46,4,3.5,4.5,4.5,9.5,9.5,128.62,49.98,0.37,NA,NA,29.48,0.2,0.5,8.53
LC_4391,Isom1C,Isom,1,C,0,5,483.87,43.88,5,5,8,7,12,12,24.2,21.42,10.53,NA,NA,13.76,6.61,1.58,45.96
LC_4392,Isom1C,Isom,1,C,5,10,483.87,125.93,5,5,8,7.5,11,11,89.45,50.59,26.58,NA,NA,16.73,9.48,1.57,35.1
LC_4393,Isom1C,Isom,1,C,10,15,483.87,81.63,2.5,2,7,7,9.5,9,60.77,49.89,13.16,NA,NA,23.34,5.42,2.49,49.91
LC_4394,KilTal52B,KilolitnaTal,52,B,0,5,556.8,91.28,5,5,7,5,10.5,9.5,46.22,46.22,32.42,NA,NA,10.93,8.78,2,33.25
LC_4395,KilTal52B,KilolitnaTal,52,B,5,10,556.8,131.96,5,5,6,5.5,8.5,9,89.11,50.08,33.2,1.52,0.1,12.49,8.19,0.75,16.03
