sample_id,field_id,fire,site,plot,soil_depth_top_cm,soil_depth_bottom_cm,initial_mass_g,pre_homo_subsample_mass_g,cn_d1,cn_d2,cn_w1,cn_w2,cn_l1,cn_l2,homogenized_soil_mass_g,subsample_fine_wet_mass_g,coarse_wet_mass_g,rock_weight_g,rock_volume_ml,subsample_fine_dry_mass_g,coarse_dry_mass_g,N_weight_per,C_weight_per
LC_4127,Chit32B,Chitanana,32,B,5,10,3632.99,87.74,5,5,6,5.5,12,12,52.42,49.97,30.27,NA,NA,11.43,8.02,1.27,47.28
LC_4128,Chit32B,Chitanana,32,B,10,15,3632.99,154,5,5,6,6,12,12,137.08,50.01,9.04,NA,NA,8.13,2.55,1.4,42.45
LC_4129,Chit32B,Chitanana,32,B,15,20,3632.99,371.59,5,5,6,5.5,12,12,335.11,50.01,14.68,NA,NA,13.78,3.86,1.11,26.64
LC_4130,Chit32B,Chitanana,32,B,20,25,3632.99,341.7,5,5,6,6,12,11.5,326.26,49.98,1.65,NA,NA,13.53,0.62,1.87,36.7
LC_4131,Chit32B,Chitanana,32,B,25,30,3632.99,322.7,5,5,5.5,5.5,11.5,12,300.85,50.8,6.38,NA,NA,13.35,1.89,1.86,40.84
LC_4132,Chit32B,Chitanana,32,B,30,35,3632.99,224.88,5,5,5.5,5.5,12,12,218.28,50.01,0.56,NA,NA,12.27,0.11,1.71,41.33
LC_4133,Chit32B,Chitanana,32,B,35,40,3632.99,81.91,2,2,4.5,4,12.5,12,76.35,49.63,0.75,NA,NA,13.74,0.25,1.55,36.63
LC_4134,Doug14C,Douglas,14,C,0,5,2023.61,134.55,5,5,6,5,10.5,10,80.37,49.92,44.59,NA,NA,8.25,7.67,1.04,45.27
LC_4135,Doug14C,Douglas,14,C,5,10,2023.61,145.98,5,5,6,5,12.5,12.5,118.99,49.98,16.6,NA,NA,5.6,2.57,0.94,46.59
LC_4136,Doug14C,Douglas,14,C,10,15,2023.61,125.67,5,5,5.5,5,10,9.5,80.61,49.78,36.62,NA,NA,5.14,5.58,0.84,46.34
LC_4137,Doug14C,Douglas,14,C,15,20,2023.61,141.31,5,5,5.5,5,9.5,9.5,136.89,50.02,1.83,NA,NA,4.38,0.35,0.86,43.18378703
LC_4138,Doug14C,Douglas,14,C,20,25,2023.61,156.47,5,5,4.5,4.5,9,9,117.1,50.1,28.1,NA,NA,4.48,2.69,0.8,43.49
LC_4139,Doug14C,Douglas,14,C,25,30,2023.61,198.24,5,5,6,5.5,9.5,9.5,168.37,50.64,15.47,NA,NA,5.64,2.05,1.03,43.14447544
LC_4140,Doug14C,Douglas,14,C,30,35,2023.61,65.65,3,2,4.5,4,9.5,9.5,57.94,50.3,1.46,NA,NA,6.94,0.26,1.22,44.77
LC_4141,KilTal54B,KilolitnaTal,54,B,0,5,570.82,81.07,5,5,7.5,5,9.5,9,39.62,39.62,35.06,NA,NA,14.19,13.78,2.25,48.74
LC_4142,KilTal54B,KilolitnaTal,54,B,5,10,570.82,151.91,5,5,6.5,5,9,9.5,142.06,50.03,5.44,NA,NA,25.83,2.49,1.08,22.89
LC_4143,KilTal54B,KilolitnaTal,54,B,10,15,570.82,83.69,3,2.5,5.5,5,8,8,76.52,50.23,2.96,0.37,0.37,35.2,1.8,0.26,5.84
LC_4144,ChitMoo35A,ChitananaMooseheart,35,A,0,5,2114.86,73.89,5,5,5.5,4.5,10.5,11,53.19,50.02,11.57,NA,NA,11.38,3.23,1.63,41.48
LC_4145,ChitMoo35A,ChitananaMooseheart,35,A,5,10,2114.86,198.29,5,5,5,5,11,11,170.81,50.01,13.03,NA,NA,10.53,3.67,2.06,38.12
LC_4146,ChitMoo35A,ChitananaMooseheart,35,A,10,15,2114.86,265.57,5,5,5.5,5,11.5,11,235.4,50.17,2.97,NA,NA,13.66,1.17,1.84,30.08
LC_4147,ChitMoo35A,ChitananaMooseheart,35,A,15,20,2114.86,275.94,5,5,5,5,11,11,258.36,50.89,6.31,NA,NA,19.19,2.48,1.6,25.5
LC_4148,ChitMoo35A,ChitananaMooseheart,35,A,20,25,2114.86,257.98,5,5,5,5,10.5,10,247.29,47.78,2.15,NA,NA,35.12,1.52,0.27,5.56
LC_4149,DragMooTrip25B,DragonMooseheart,25,B,0,5,172.86,79.37,3,3,5.5,5,10.5,10,71.81,50.22,3.89,NA,NA,36.83,2.76,0.29,5.72
LC_4150,Isom71A,Isom,71,A,0,5,546,69.48,5,5,6.5,5,10,9.5,47.57,47.57,13.11,NA,NA,15.86,6.29,1.16,44.92
LC_4151,Isom71A,Isom,71,A,5,10,546,102.66,5,5,6,5.5,8.5,9,85.7,50,6.56,NA,NA,8.74,2.45,1.31,44.39
LC_4152,Isom71A,Isom,71,A,10,15,546,123.57,4.5,4.5,5,5,8,8,101.43,50.29,14.36,NA,NA,11.75,3.4,1.19,31.08
LC_4153,BitCosLil48B,BitzshitiniCosnaLittle,48,B,0,5,528.87,117.84,5,5,6,5,10,10,99.07,49.97,10.7,NA,NA,31.11,5.06,0.97,22.58
LC_4154,BitCosLil48B,BitzshitiniCosnaLittle,48,B,5,10,528.87,196.46,3.5,3.5,5.5,5.5,10,10,188.5,49.92,2.82,NA,NA,35.92,1.94,0.3,4.32
LC_4155,DoBon12B,DouglasBonanza,12,B,0,5,2222.05,146.76,5,5,6,5,11.5,11,123.32,49.99,11.1,NA,NA,8.51,2.59,1.45,44.88
LC_4156,DoBon12B,DouglasBonanza,12,B,5,10,2222.05,269.95,5,5,5.5,5,11,11,222.57,50.09,29.49,NA,NA,6.52,4.78,1.51,45.02
LC_4157,DoBon12B,DouglasBonanza,12,B,10,15,2222.05,248.86,5,5,6,5,10,11,221.64,50.19,16.21,NA,NA,5.26,2.35,1.3,44.38
LC_4158,DoBon12B,DouglasBonanza,12,B,15,20,2222.05,226.05,5,5,6.5,6,9,9,210.217,49.83,9.39,NA,NA,12.28,1.98,0.92,25.12
LC_4159,DoBon12B,DouglasBonanza,12,B,20,25,2222.05,85.34,3.5,3.5,5,5,6,6.5,81.23,49.99,0.82,NA,NA,12.15,0.19,0.89,27.02
LC_4160,KilTalHol58B,KilolitnaTalHolanada,58,B,0,5,212.97,86.91,5,5,6,5,10.5,10.5,58.18,49.99,20.54,NA,NA,19.75,8.69,1.68,43.15
LC_4161,KilTalHol58B,KilolitnaTalHolanada,58,B,5,10,212.97,26.08,2,2.5,3.5,3,8,7.5,23.46,23.46,0.86,NA,NA,9.1,0.35,1.34,36.25
LC_4162,DryMoo22A,DryMooseheart,22,A,0,5,802.33,98.77,5,5,5.5,5.5,10.5,10.5,63.52,50.02,22.45,NA,NA,14.73,9.51,1.65,41.91
LC_4163,DryMoo22A,DryMooseheart,22,A,5,10,802.33,211.43,5,5,5,5,9.5,9.5,180.39,50.79,22.36,NA,NA,15.67,6.67,1.4,25.48
LC_4164,DryMoo22A,DryMooseheart,22,A,10,15,802.33,127.54,3.5,2.5,4.5,4.5,9,9,116.2,50.15,3.34,NA,NA,25.71,1.86,0.58,10.77
LC_4165,ChitMoo35B,ChitananaMooseheart,35,B,0,5,1788.12,85.05,5,5,4.5,4,9.5,9,65.25,50.78,14.42,NA,NA,11.97,3.97,1.59,35.87
LC_4166,ChitMoo35B,ChitananaMooseheart,35,B,5,10,1788.12,163.61,5,5,5,4.5,9,8.5,137.87,49.82,11.87,NA,NA,14.13,4.07,1.5,28.65
LC_4167,ChitMoo35B,ChitananaMooseheart,35,B,10,15,1788.12,194.77,5,5,5,4,8.5,8.5,174.56,50.05,8.65,NA,NA,19.64,3.63,1.19,21
LC_4168,ChitMoo35B,ChitananaMooseheart,35,B,15,20,1788.12,167.08,5,5,4.5,4,8,8,161.87,50.11,1.06,NA,NA,20.88,0.5,1.25,24.21
LC_4169,ChitMoo35B,ChitananaMooseheart,35,B,20,25,1788.12,191.55,5,5,4,4,8,8,186.21,50.21,1.23,NA,NA,30.48,0.69,0.5,10.58
LC_4170,ChitMoo35B,ChitananaMooseheart,35,B,25,30,1788.12,77.76,2,2,2.5,2.5,7.5,7.5,75.7,50.28,0.13,NA,NA,39.07,0.08,0.13,1.27
LC_4171,ChitMoo36A,ChitananaMooseheart,36,A,0,5,2004.31,82.55,5,5,6,5,12,11.5,56.15,50,14.22,NA,NA,15.15,5.97,1.79,43.29
LC_4172,ChitMoo36A,ChitananaMooseheart,36,A,5,10,2004.31,154.69,5,5,6,5.5,11.5,11,130.22,49.99,13.16,NA,NA,11.86,4.47,1.97,40.52
LC_4173,ChitMoo36A,ChitananaMooseheart,36,A,10,15,2004.31,318.83,5,5,6,6,11.5,12,271.41,50.2,16.63,NA,NA,15.47,6.38,1.47,25.98
LC_4174,ChitMoo36A,ChitananaMooseheart,36,A,15,20,2004.31,356.56,5,5,6,5,12,12,329.6,50.1,12,NA,NA,20.22,4.92,1.33,23.18
LC_4175,ChitMoo36A,ChitananaMooseheart,36,A,20,25,2004.31,125.37,2.5,3,5.5,5,12,12,117.58,50.05,2.68,NA,NA,25.92,1.27,0.87,15.57
LC_4176,BitWein43C,BitzshitiniWien,43,C,0,5,644.34,52.29,5,5,6,6,12.5,12,41.29,41.29,4.49,NA,NA,14.04,2.15,1.15,47.06
LC_4177,BitWein43C,BitzshitiniWien,43,C,5,10,644.34,126.72,5,5,6.5,6,12,12,96.17,49.98,18.1,NA,NA,19.02,5.82,1.02,27.04
LC_4178,BitWein43C,BitzshitiniWien,43,C,10,15,644.34,138.73,3.5,3.5,5.5,5,10.5,10.5,131.18,49.91,3.81,NA,NA,28.38,1.65,0.19,5.91
LC_4179,Isom72A,Isom,72,A,0,5,464.35,21.83,5,5,5,4,9,9,12.81,12.81,5.93,NA,NA,10.25,4.67,1.08,49.11
LC_4180,Isom72A,Isom,72,A,5,10,464.35,58.63,5,5,4.5,4,10,9.5,33.7,33.6,18.6,NA,NA,13.67,7.26,1.21,36.93
LC_4181,Isom72A,Isom,72,A,10,15,464.35,134.08,4,3.5,4.5,4.5,9,8.5,108.8,49.78,18.32,NA,NA,24.78,4.98,0.59,13.14
