fire,site,plot,date,location,org_depth,org_hit,ar_sol_depth,ar_sol_hit,ar_height,thaw_d,thaw_hit
Aggie,94,B,7/17/2021,6 m,20,Mineral,11,Rock,11.33333333,71,Rock
Aggie,94,B,7/17/2021,3 m,40.5,Mineral,21.5,Mineral,16.16666667,52,Rock
Aggie,94,C,7/17/2021,9 m,13.25,Mineral,13.25,Mineral,13.66666667,36,Rock
Aggie,94,C,7/17/2021,6 m,15.5,"Rock,Mineral",16,Mineral,17.66666667,40,Rock
Aggie,94,C,7/17/2021,3 m,20.75,"Rock,Mineral",26,Mineral,12.66666667,32,Rock
Aggie,99,A,7/18/2021,9 m,26.25,Mineral,30.5,Frozen Ground,10.66666667,30,Rock
Aggie,99,A,7/18/2021,6 m,32.5,Mineral,21.75,Mineral,11.5,37,Frozen Ground
Aggie,99,A,7/18/2021,3 m,35.5,Mineral,33,Mineral,4.666666667,44,Frozen Ground
Aggie,99,B,7/18/2021,6 m,17.5,Mineral,18,Rock,8.333333333,56,Frozen Ground
Aggie,99,B,7/18/2021,9 m,26.5,Frozen Ground,27.25,Frozen Ground,12.5,26,Frozen Ground
Aggie,99,B,7/18/2021,3 m,22.5,"Mineral,Rock",22.5,Rock,7,59,Rock
Aggie,99,C,7/18/2021,9 m,31,"Mineral,Rock",24.5,Mineral,6.5,31,Rock
Aggie,99,C,7/18/2021,6 m,29,Frozen Ground,27.75,Mineral,17.66666667,29,Frozen Ground
Aggie,99,C,7/18/2021,3 m,0,Mineral,26,Mineral,7.666666667,46,Frozen Ground
BearFish,68274,A,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,68274,A,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,68274,B,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,68274,B,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,68274,C,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,68274,C,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,68303,A,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,68303,A,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,68303,B,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,68303,B,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,68303,C,7/19/2022,7.5 m,0.25,Mineral,NA,,NA,NA,
BearFish,68303,C,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,6846,A,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,6846,A,7/19/2022,7.5 m,0,,NA,,NA,NA,
BearFish,6846,B,7/19/2022,7.5 m,7.9,Mineral,NA,,NA,NA,
BearFish,6846,B,7/19/2022,2.5 m,3.5,Mineral,NA,,NA,NA,
BearFish,6846,C,7/19/2022,7.5 m,6.5,Mineral,NA,,NA,NA,
BearFish,6846,C,7/19/2022,2.5 m,5.5,Mineral,NA,,NA,NA,
BearFish,68469,A,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,68469,B,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,68469,B,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
