date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/5/2021,Shovel,8,C,black spruce,yes,NA,no,5.6,NA,0,0,0,0,NA,
7/5/2021,Shovel,8,C,black spruce,yes,NA,no,5.1,NA,0,0,0,0,NA,
7/5/2021,Shovel,8,C,black spruce,no,NA,no,3.4,NA,0,0,0,0,NA,
7/5/2021,Shovel,8,C,black spruce,no,NA,no,3.3,NA,0,0,0,0,NA,
7/5/2021,Shovel,8,C,black spruce,yes,NA,no,2.9,NA,0,0,0,0,NA,
7/5/2021,Shovel,8,C,black spruce,yes,NA,no,NA,1.4,NA,50,50,25,NA,
7/5/2021,Shovel,8,C,black spruce,yes,NA,no,NA,1.1,NA,0,0,0,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,8.1,NA,50,50,50,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,7.8,NA,50,75,75,25,NA,
7/5/2021,Shovel,18,A,birch,yes,NA,no,7.4,NA,NA,100,25,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,7,NA,75,75,75,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,6.3,NA,50,50,50,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,6.1,NA,50,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,5.9,NA,50,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,no,NA,no,4.7,NA,75,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,4.2,NA,75,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,no,NA,no,3.9,NA,75,50,50,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,3.3,NA,75,75,75,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,3.2,NA,75,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,2.7,NA,NA,75,75,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,2.6,NA,75,25,25,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,2.5,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,no,NA,no,2.4,NA,NA,75,75,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,2.3,NA,NA,100,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,2.3,NA,NA,50,50,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,2.1,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,no,NA,no,1.6,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,1.4,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,0.9,NA,NA,100,75,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,0.4,NA,NA,100,100,25,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,1,NA,100,100,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,0.9,NA,100,100,75,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,1.4,NA,100,100,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,1.7,NA,100,100,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,1.7,NA,100,100,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,1.6,NA,100,100,50,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,0.9,NA,100,100,75,NA,
7/5/2021,Shovel,18,A,black spruce,yes,NA,no,NA,1.9,NA,75,75,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,5,NA,25,50,50,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,4.9,NA,50,50,50,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,4.4,NA,50,75,75,50,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,3.8,NA,25,25,25,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,3.4,NA,25,50,50,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,2.3,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,2.2,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,1.9,NA,0,50,50,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,1.5,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,1.4,NA,NA,50,50,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,0.9,NA,100,100,75,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,0.9,NA,100,100,75,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,1,NA,100,100,50,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,1.2,NA,100,100,50,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,1.6,NA,75,75,50,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,1.6,NA,75,75,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,2.1,NA,50,50,25,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,1.6,NA,0,0,0,NA,
7/5/2021,Shovel,18,B,black spruce,yes,NA,no,NA,1,NA,0,0,0,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,5.5,NA,25,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,5.2,NA,50,75,75,25,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,5.1,NA,100,100,100,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,4.7,NA,25,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,4.6,NA,75,75,75,25,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,4.5,NA,50,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,4.3,NA,25,50,50,25,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,4,NA,25,75,75,25,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,4,NA,50,50,50,25,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,3.9,NA,25,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,3.8,NA,100,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,3.7,NA,50,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,3.5,NA,100,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,3.4,NA,75,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,3,NA,100,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,2.8,NA,NA,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,2.5,NA,0,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,2.3,NA,NA,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,2.2,NA,75,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,2.1,NA,NA,100,100,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,2,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,2,NA,NA,75,75,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.9,NA,100,100,100,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.8,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.7,NA,NA,75,75,25,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.6,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.6,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.6,NA,NA,100,100,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.5,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.4,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.4,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.2,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.2,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.1,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1.1,NA,NA,100,100,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,1,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,0.9,NA,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.8,NA,100,100,50,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.8,NA,100,100,25,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.2,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.4,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.1,NA,100,100,100,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.5,NA,100,100,100,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.1,NA,100,100,100,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.1,NA,100,100,100,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.7,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,2,NA,100,100,75,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,1.5,NA,100,100,100,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,0.7,NA,100,100,100,NA,
7/5/2021,Shovel,18,C,black spruce,yes,NA,no,NA,5.2,25,50,50,25,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,7,NA,25,75,75,25,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,6.9,NA,25,75,75,50,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,5.5,NA,75,100,100,25,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,5.1,NA,75,75,75,25,NA,
7/5/2021,Shovel,26,A,white spruce,yes,NA,no,5.1,NA,75,50,50,25,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,4.93,NA,25,75,100,50,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,4.9,NA,25,75,75,50,NA,Recorded cm
7/5/2021,Shovel,26,A,black spruce,no,NA,no,4.84,NA,25,75,75,50,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,4.6,NA,75,100,75,50,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,3.9,NA,50,100,75,50,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,3.4,NA,NA,75,50,25,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,3.4,NA,NA,100,75,50,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,3.1,NA,75,100,75,50,NA,
