fire_scar,ID,sample_id,horizon,date_processed,prehomog_wet_mass,2-5_coarsewet_mass,above5_coarsewet_mass,rock_mass,rock_vol,tin_number,tin_mass,tin_wet_mass_110,archive_wet_mass,airdry_wet_mass,2-5_ drybag_mass,above5_coarsedry_mass,tin_dry_110,archive_dry_60,radiocarbon_sample,extra_rock_mass,extra_rock_volume,notes
Munson Creek,242,MuCr5C,M1,10/18/2024,754.64,0,0,388.112,172.00,30,1.01,20.14,62.43,141.26,0,0,16.875,55.00,1,,,
Nugget Creek,244,NuCr1A,M1,11/25/2024,197.09,0,0,3.46,1.80,15,1.00,20.81,40.07,39.22,0,0,12.34,26.18,1,,,
Nugget Creek,245,NuCr1A,M2,11/22/2024,291.04,0,0,2.85,1.40,17,1.01,21.60,61.69,105.97,0,0,14.90,45.688,1,,,
Nugget Creek,247,NuCr1B,M1,11/25/2024,172.65,0.32,0,2.49,1.10,66,0.96,20.7,41.83,44.87,2.86,0,12.60,28.23,1,,,small sample; RC<100g
Nugget Creek,248,NuCr1B,M2,10/16/2024,184.363,0.32,0.21,0,0,10,1.019,20.123,40.55,26.942,2.86,2.78,11.438,25.98,1,,,small sample
Nugget Creek,250,NuCr1C,M1,11/21/2024,202.80,0,0,4.83,2.00,7,1.04,20.66,39.98,41.70,0,0,12.471,26.595,1,,,
Nugget Creek,251,NuCr1C,M2,11/21/2024,206.40,0,0,5.23,2.00,13,1.02,15.72,60.60,41.27,0,0,10.344,42.231,1,,,
Nugget Creek,254,NuCr2B,M1,10/17/2024,130.178,0.28,0,0,0,32,2.125,20.071,40.168,34.09,2.93,0,9.131,19.15,1,,,small sample; took from RC
Nugget Creek,255,NuCr2B,M2,11/21/2024,219.39,0,0,19.33,9.50,10,1.02,21.14,40.90,41.29,0,0,14.91,31.76,1,,,
Nugget Creek,257,NuCr2C,M1,11/25/2024,150.62,0,0,14.28,6.60,60,0.98,20.40,29.73,23.24,0,0,10.55,18.24,1,,,small sample
Nugget Creek,259,NuCr3A,M1,11/22/2024,150.26,0,0,0,0,60,0.97,17.13,31.3,50.57,0,0,8.831,19.585,1,,,small sample; RC<100g
Nugget Creek,260,NuCr3A,M2,11/25/2024,263.36,0,0,0,0,64,0.97,20.95,59.38,86.73,0,0,12.91,39.34,1,,,
Nugget Creek,262,NuCr3B,M1,11/21/2024,170.25,0,1.49,0,0,9,1.00,20.37,39.71,39.53,0,3.52,12.32,27.02,1,,,
Nugget Creek,263,NuCr3B,M2,11/25/2024,274.57,0,0,4.99,2.50,19,1.00,20.66,60.04,88.12,0,0,14.30,43.63,1,,,
Nugget Creek,265,NuCr3C,M1,11/27/2024,175.23,2.74,0,0,0,62,1.00,15.23,41.86,48.79,3.674,0,9.272,27.681,1,,,
Nugget Creek,266,NuCr3C,M2,11/21/2024,212.18,0.29,0,0,0,12,1.02,15.08,60.95,33.95,2.88,0,9.47,39.30,1,,,
Nugget Creek,268,NuCr4A,M1,11/4/2024,133.273,0.544,0,7.101,4.00,12,1.026,20.259,16.136,23.78,3.2,0,12.00,14.00,1,,,small sample: RC<100g
Nugget Creek,269,NuCr4A,M2,11/15/2024,202.90,0,0,11.68,2.00,64,0.97,15.86,40.79,32.75,0,0,8.734,23.80,1,,,
Nugget Creek,271,NuCr4B,M1,10/18/2024,205.039,0.909,0,2.622,1.00,26,1.046,21.626,54.661,35.308,3.27,0,13.848,37.12,1,,,small sample
Nugget Creek,272,NuCr4B,M2,10/21/2024,299.014,0.404,0,6.289,3.00,80,0.97,22.807,61.862,102.118,3.01,0,16.46,50.30,1,,,
Nugget Creek,274,NuCr4C,M1,11/6/2024,256.559,0.40,0,53.249,24.00,15,1.00,20.77,42.784,46.397,3.12,0,16.56,41.27,1,,,small sample; took from RC
Nugget Creek,275,NuCr4C,M2,10/22/2024,221.80,1.27,6.10,0,0.00,78,1.01,20.45,60.11,38.13,3.46,5.12,11.88,36.76,1,,,no rocks
Nugget Creek,277,NuCr5A,M1,10/24/2024,223.98,0,0,63.20,38.00,28,1.01,19.99,15.38,27.14,0,0,15.27,14.706,1,,,small sample
Nugget Creek,278,NuCr5A,M2,10/22/2024,225.818,0,0,18.171,7.80,79,0.981,21.311,42.11,42.889,0,0,16.98,36.09,1,,,
Nugget Creek,280,NuCr5B,M1,10/18/2024,212.062,0.453,0.412,45.037,25.00,17,1.022,20.161,60.524,19.084,2.92,3,16.078,45.94,1,,,
Nugget Creek,281,NuCr5B,M2,11/15/2024,221.97,0,0,31.71,16.20,17,1.02,20.06,25.40,31.39,0,0,16.563,27.558,1,,,small sample
Nugget Creek,283,NuCr5C,M1,10/21/2024,290.535,1.31,0,68.161,23.00,3,1.003,20.577,63.454,34.046,3.36,0,14.84,47.64,1,,,
Nugget Creek,285,NuCr6A,M1,10/18/2024,308.436,0,0,80.851,32.00,27,1.01,20.489,60.536,62.745,0,0,14.093,40.52,1,8.60,3.00,
Nugget Creek,286,NuCr6A,M2,10/21/2024,252.50,0.29,0,42.95,90.60,6,1.01,18.58,39.59,47.63,2.97,0,12.43,33.64,1,,,"286 documented under 292, had to be moved based on paper slip in RC bag confirming correct ID samples; all data transferred, 100% resolved"
Nugget Creek,288,NuCr6B,M1,11/1/2024,295.76,3.18,0,125.92,56.20,11,1.02,18.89,23.96,42.19,3.997,0,15.358,23.523,1,,,small sample; sieved
Nugget Creek,289,NuCr6B,M2,10/25/2024,107.324,0.25,1.232,31.998,32.863,29,1.041,15.019,21.305,32.863,2.936,3.564,12.573,22.367,0,,,RC<100g
Nugget Creek,291,NuCr6C,M1,10/18/2024,198.505,0.431,0,55.747,20.00,28,1.007,20.484,40.662,37.585,3.04,0,17.623,31.64,1,5.26,3.00,
Nugget Creek,292,NuCr6C,M2,10/22/2024,226.161,0.282,0,35.284,55.20,75,1.027,20.818,40.901,28.301,2.90,0,17.94,38.08,1,,,
Teklanika,294,Tekl1A,M1,NA,297.545,0.075,0,0,0,75,1.031,21.48,59.093,122.344,2.75,0,15.83,45.66,1,,,
Teklanika,295,Tekl1A,M2,11/15/2024,326.203,0.062,0,0,0,76,0.967,22.116,58.594,147.492,2.781,0,16.928,47.465,1,,,
Teklanika,297,Tekl1B,M1,9/26/2024,206.088,0,0,90.967,48.00,21,1.042,21.637,45.128,54.048,0,0,13.42,31.53,0,,,small sample
Teklanika,298,Tekl1B,M2,11/8/2024,289.69,0,0,177.03,115.00,92,1.01,20.00,20.88,7.32,0,0,16.846,22.036,1,,,small sample
Teklanika,300,Tekl1C,M1,11/13/2024,538.29,0,0,308.39,104.50,81,1.03,18.82,50.41,64.26,0,0,14.575,44.361,1,,,
Teklanika,301,Tekl1C,M2,11/8/2024,357.44,0,0,174.35,64.80,79,0.98,16.12,27.79,33.97,0,0,14.59,31.08,1,,,"small sample, lots of rocks"
Teklanika,303,Tekl2A,M1,9/27/2024,256.436,0,0,0,0,3,1.001,20.014,66.60,174.732,0,0,11.60,39.77,0,,,no rocks or CWD
Teklanika,304,Tekl2A,M2,NA,304.83,0.04,0,0,0,66,0.96,20.96,60.03,39.49,2.757,0,13.584,42.626,1,,,likely done 11/13; 2-5 CWD dried @ 110C for 24hrs before being transferred to 60C oven
Teklanika,306,Tekl2B,M1,11/4/2024,272.64,0,0,0,0,55,1.03,20.93,60.50,92.88,0,0,14.50,43.00,1,,,
Teklanika,307,Tekl2B,M2,11/13/2024,333.473,0,0,NA,NA,76,0.968,21.85,60.046,150.189,0,0,16.00,46.53,1,,,
Teklanika,309,Tekl2C,M1,11/12/2024,312.836,0,0,0,0,62,0.982,20.281,60.725,129.808,0,0,14.508,42.748,1,,,
Teklanika,310,Tekl2C,M2,11/14/2024,330.70,0,0,0,0,79,0.98,21.11,59.79,146.55,0,0,15.732,46.589,1,,,
Teklanika,312,Tekl3A,M1,11/5/2024,598.01,0.45,0,294.75,107.50,13,1.01,21.03,76.99,87.91,2.98,0,11.98,45.63,1,,,
Teklanika,314,Tekl3B,M1,9/26/2024,293.044,0,0,116.552,47.00,22,1.018,21.405,59.615,98.253,0,0,11.71,35.45,0,,,
Teklanika,315,Tekl3B,M2,11/13/2024,121.038,0,0,39.278,16.00,12,1.026,15.12,31.087,24.525,0,0,11.459,28.769,1,,,
Teklanika,317,Tekl3C,M1,11/12/2024,247.919,0.514,0,18.777,4.00,60,0.976,20.204,60.565,40.338,2.864,0,12.48,21.471,1,,,
Teklanika,318,Tekl3C,M2,11/15/2024,207.15,0,0,76.785,30.00,55,0.992,15.495,20.624,22.855,0,0,12.119,20.702,1,,,"no process date initially, found on airdry bag"
Teklanika,320,Tekl4A,M1,10/16/2024,205.176,0.049,0,29.776,12.00,29,1.036,20.239,31.983,28.748,2.73,0,13.841,23.87,1,,,small sample; huge ~30g rock
Teklanika,321,Tekl4A,M2,10/18/2024,229.88,0,0,116.86,48.00,20,0.99,15.98,15.377,20.90,0,0,14.381,17.31,1,,,RC<100g; rocky grab sample
Teklanika,323,Tekl4B,M1,10/17/2024,194.975,0,0,0,0,24,1.038,20.213,60.326,36.309,0,0,15.158,47.25,1,,,
Teklanika,324,Tekl4B,M2,11/27/2024,121.70,0,0,40.79,31.00,59,0.98,14.70,12.59,19.55,0,0,13.487,14.611,1,,,lots of rock; rocks in tin and RC sample
Teklanika,326,Tekl4C,M1,9/27/2024,306.118,0,0,0,0,1,1.028,21.577,61.941,235.923,0,0,15.94,45.67,0,,,
Teklanika,327,Tekl4C,M2,11/4/2024,354.71,0,0,0,0,77,1.03,20.66,62.88,167.67,0,0,15.90,50.50,1,,,
Teklanika,329,Tekl5A,M1,11/13/2024,339.72,0,0,0,0,13,1.02,21.00,59.96,144.84,0,0,15.609,46.729,1,,,
Teklanika,330,Tekl5A,M2,11/15/2024,313.103,0,0,0,0,16,0.993,21.526,67.90,124.176,0,0,16.387,54.055,1,,,
Teklanika,332,Tekl5B,M1,11/4/2024,290.218,0.22,0.556,1.487,0.600,76,0.97,20.088,61.509,59.291,2.90,3.00,12.90,40.70,1,,,
Teklanika,334,Tekl5C,M1,9/27/2024,270.81,0,0,0,0,5,1.02,19.89,68.13,180.34,0,0,13.37,48.14,0,,,
Teklanika,335,Tekl5C,M2,NA,376.71,0.05,0,0,0.00,6,1.01,20.44,62.87,166.93,0.03,0,16.04,47.75,1,,,true sample found by HSK in freezer in Jan 2025. sample that was originally assigned this number cannot be correct because the paper sheet found in Jan 2025 matches exactly. so original 335 was discarded as there is no sample missing that it could be associated with. - HSK 3/20/2025
Teklanika,337,Tekl6A,M1,11/4/2024,317.27,0,0,0,0,78,1.01,20.95,63.22,134.43,0,0,15.40,48.10,1,,,
Teklanika,338,Tekl6A,M2,10/17/2024,338.87,0,0,0,0,14,1.03,20.80,60.22,160.06,0,0,15.80,47.72,1,,,no rocks
Teklanika,340,Tekl6B,M1,10/18/2024,332.734,0,0,0,0,9,1.009,21.378,61.127,156.763,0,0,15.89,47.68,1,,,
Teklanika,341,Tekl6B,M2,11/5/2024,363.89,0,0,0,0,14,1.03,20.88,63.64,186.82,0,0,16.03,50.96,1,,,no rocks
Teklanika,343,Tekl6C,M1,10/17/2024,260.182,0.249,0,0,0,12,1.023,20.58,63.90,81.742,2.91,0,15.326,49.82,1,,,
Teklanika,344,Tekl6C,M2,NA,445.84,0,0,40.08,19.00,78,1.01,20.79,59.81,220.71,0,0,15.63,46.80,1,,,
