"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"224","CCE","2024-07-15","Lost Horse","LoHo2","A",NA,10.5,"Mineral",74,"Rock",8,"Mineral",18,12,11,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"225","CCE","2024-07-15","Lost Horse","LoHo1","A",NA,10,"Mineral",54,"Rock",7.5,"Mineral",12,7,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"226","CCE","2024-07-15","Lost Horse","LoHo1","A",NA,6.5,"Mineral",63,"Rock",9,"Mineral",19,13,5,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"227","CCE","2024-07-15","Lost Horse","LoHo1","A",NA,1,"Mineral",60,"Rock",1.5,"Mineral",19,12,1,"yes","LoHo1A",9,10,13,12,12,10,"Some green moss under burned moss",5,5,"Core","","",""
"228","CCE","2024-07-14","Haystack","Hays2","A",NA,5.5,"Mineral",59,"Rock",6,"Mineral",6,7,NA,"yes","Hays2A",6,5,9,10,9,10,"",5,5,"Core","M1 and m2 both 5 cm","",""
"229","CCE","2024-07-14","Haystack","Hays2","A",NA,19,"Mineral",75,"Rock",6.5,"Mineral",20,18,14,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"230","CCE","2024-07-14","Haystack","Hays2","A",NA,12,"Mineral",100,"Rock",5,"Mineral",8,10,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"231","CCE","2024-07-16","Shovel Creek","ShCr1","C",NA,26.5,"Mineral",58,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"232","CCE","2024-07-16","Shovel Creek","ShCr1","C",NA,28.5,"Mineral",92,"Ice",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"233","CCE","2024-07-16","Shovel Creek","ShCr1","C",NA,44,"Mineral",53,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Sphagnum ",""
"234","CCE","2024-07-31","Nugget Creek","NuCr5","A",NA,5.5,"Mineral",86,"Rock",3.5,"Mineral",11,16,NA,"yes","NuCr5A",6,5,7.5,7.5,9,9.5,"",3,5,"Grab","M1 sample is grab sample, approximated depth and volume using corer but unable to remove an intact core. Not measured exactly volumetrically and contains rocks.","1.5 cm rock removed between organic and mineral, AR SOL depth does not include green moss, transect SOL does (polytrichum)",""
"235","CCE","2024-07-31","Nugget Creek","NuCr5","A",NA,5,"Mineral",64,"Rock",12,"Mineral",11,23.5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Depth includes green moss for transect, AR depths taken from downed tree to bottom of tree roots. AR SOL depth taken right next to downed AR tree and does not include green moss.",""
"236","CCE","2024-08-05","Dry Creek","DrCr1","C",0.1,20,"Mineral,Water",73,"Frozen Ground",33,"Mineral,Water",4,5,NA,"yes","DrCr1C",21,22,10,10,10.5,10,"",5,5,"Core","","Hit water at 15",""
"237","CCE","2024-08-05","Dry Creek","DrCr1","C",0,29,"Mineral",68,"Frozen Ground",28,"Mineral,Water",14,16,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"238","CCE","2024-07-22","Hess Creek","HeCr2","B",NA,5,"Mineral",39,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"239","CCE","2024-07-22","Hess Creek","HeCr2","B",NA,0.5,"Mineral",28,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Offset at 16.2 due to standing tree",""
"240","CCE","2024-07-22","Hess Creek","HeCr2","B",NA,1,"Mineral",43,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"241","CCE","2024-07-23","Hess Creek","HeCr5","A",NA,10,"Mineral",92,"Frozen Ground",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"242","CCE","2024-07-23","Hess Creek","HeCr5","A",NA,21,"Mineral",101,">100cm",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"243","CCE","2024-07-23","Hess Creek","HeCr5","A",NA,11,"Mineral",92,"Frozen Ground",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"244","CCE","2024-07-18","Lost Horse","LoHo5","C",NA,17,"Mineral,Rock",89,"Rock",20.5,"Mineral",9,12.5,12,"yes","LoHo5C",17,16,10,10,11.5,11.5,"",5,0,"Core","","4cm of rock/mineral/organic that was removed",""
"245","CCE","2024-07-18","Lost Horse","LoHo5","C",NA,10.5,"Mineral",88,"Rock",15,"Rock",4.5,5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"246","CCE","2024-07-18","Lost Horse","LoHo5","C",NA,20,"Mineral,Rock",71,"Rock",13,"Mineral",14,7,5,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"247","CCE","2024-08-04","Munson Creek","MuCr4","A",1.5,4.5,"Mineral,Rock",73,"Rock",8,"Mineral",5,6,5,"yes","MuCr4A",6,5.5,10,10,10.5,10.5,"",5,5,"Core","","",""
"248","CCE","2024-08-04","Munson Creek","MuCr4","A",0,9,"Mineral",87,"Rock",5.5,"Mineral",5.5,8,7,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"249","CCE","2024-07-28","McCoy Creek","McCr5","B",NA,39,"Mineral",60,"Frozen Ground",22,"Mineral",5,3,6,"yes","McCr5B",36,38,12,10,11,10,"",5,5,"Core","","",""
"250","CCE","2024-07-28","McCoy Creek","McCr5","B",NA,47,"Frozen Ground,Mineral",57,"Frozen Ground",33,"Water,Mineral",13.5,3,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"251","CCE","2024-07-30","Nugget Creek","NuCr3","B",NA,7.5,"Mineral",60,"Rock",3,"Mineral",7.5,8,NA,"yes","NuCr3B",7,5,9,8,11,10,"",5,5,"Core","","Depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss",""
"252","CCE","2024-07-30","Nugget Creek","NuCr3","B",NA,8,"Mineral",101,">100cm",3.5,"Mineral",24,27,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","AR SOL depth does not include green moss",""
"253","CCE","2024-07-22","Hess Creek","HeCr1","C",NA,13.5,"Mineral",43,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Moved measurement to 23.7 due to large trunk at 23",""
"254","CCE","2024-07-22","Hess Creek","HeCr1","C",NA,6.6,"Mineral",77,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"255","CCE","2024-07-22","Hess Creek","HeCr1","C",NA,13,"Rock",80,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"256","CCE","2024-07-16","Shovel Creek","ShCr2","B",NA,12,"Mineral",101,">100cm",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
